Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
1,Salida en corto,2026-03-24 09:45,Scripted Exit All,1.1615,1,145337.5,150,0.10,181.25,0.12,-450,-0.31,150,1.50,90
1,Entrada en corto,2026-03-24 02:15,Scripted Short,1.1627,1,145337.5,150,0.10,181.25,0.12,-450,-0.31,150,1.50,90
2,Salida en largo,2026-03-25 20:35,Scripted Short,1.1601,1,145581.25,-568.75,-0.39,193.75,0.13,-600,-0.41,-418.75,-4.19,185
2,Entrada en largo,2026-03-25 04:10,Scripted Long,1.16465,1,145581.25,-568.75,-0.39,193.75,0.13,-600,-0.41,-418.75,-4.19,185
3,Salida en corto,2026-03-26 02:25,Scripted Exit All,1.15985,1,145012.5,31.25,0.02,62.5,0.04,-175,-0.12,-387.5,-3.87,70
3,Entrada en corto,2026-03-25 20:35,Scripted Short,1.1601,1,145012.5,31.25,0.02,62.5,0.04,-175,-0.12,-387.5,-3.87,70
4,Salida en corto,2026-03-27 03:20,Scripted Exit All,1.15705,1,144750,118.75,0.08,125,0.09,-12.5,-0.01,-268.75,-2.69,9
4,Entrada en corto,2026-03-27 02:35,Scripted Short,1.158,1,144750,118.75,0.08,125,0.09,-12.5,-0.01,-268.75,-2.69,9
5,Salida en corto,2026-03-31 07:10,Scripted Exit All,1.14995,1,143818.75,75,0.05,93.75,0.07,-131.25,-0.09,-193.75,-1.94,46
5,Entrada en corto,2026-03-31 03:20,Scripted Short,1.15055,1,143818.75,75,0.05,93.75,0.07,-131.25,-0.09,-193.75,-1.94,46
6,Salida en largo,2026-03-31 20:10,Scripted Exit All,1.16105,1,145012.5,118.75,0.08,143.75,0.10,0,0.00,-75,-0.75,10
6,Entrada en largo,2026-03-31 19:20,Scripted Long,1.1601,1,145012.5,118.75,0.08,143.75,0.10,0,0.00,-75,-0.75,10
7,Salida en largo,2026-04-01 01:30,Scripted Exit All,1.1611,1,145018.75,118.75,0.08,118.75,0.08,0,0.00,43.75,0.44,9
7,Entrada en largo,2026-04-01 00:45,Scripted Long,1.16015,1,145018.75,118.75,0.08,118.75,0.08,0,0.00,43.75,0.44,9
8,Salida en largo,2026-04-01 04:30,Scripted Exit All,1.16385,1,145212.5,268.75,0.19,268.75,0.19,-18.75,-0.01,312.5,3.13,25
8,Entrada en largo,2026-04-01 02:25,Scripted Long,1.1617,1,145212.5,268.75,0.19,268.75,0.19,-18.75,-0.01,312.5,3.13,25
9,Salida en largo,2026-04-01 07:55,Scripted Exit All,1.1645,1,145437.5,125,0.09,131.25,0.09,-31.25,-0.02,437.5,4.38,19
9,Entrada en largo,2026-04-01 06:20,Scripted Long,1.1635,1,145437.5,125,0.09,131.25,0.09,-31.25,-0.02,437.5,4.38,19
10,Salida en largo,2026-04-01 11:05,Scripted Exit All,1.16605,1,145656.25,100,0.07,168.75,0.12,-193.75,-0.13,537.5,5.38,28
10,Entrada en largo,2026-04-01 08:45,Scripted Long,1.16525,1,145656.25,100,0.07,168.75,0.12,-193.75,-0.13,537.5,5.38,28
11,Salida en largo,2026-04-02 05:10,Scripted Short,1.15615,1,145718.75,-1200,-0.82,56.25,0.04,-1312.5,-0.90,-662.5,-6.62,182
11,Entrada en largo,2026-04-01 13:00,Scripted Long,1.16575,1,145718.75,-1200,-0.82,56.25,0.04,-1312.5,-0.90,-662.5,-6.62,182
12,Salida en corto,2026-04-02 06:25,Scripted Exit All,1.15535,1,144518.75,100,0.07,137.5,0.10,-100,-0.07,-562.5,-5.62,15
12,Entrada en corto,2026-04-02 05:10,Scripted Short,1.15615,1,144518.75,100,0.07,137.5,0.10,-100,-0.07,-562.5,-5.62,15
13,Salida en largo,2026-04-02 20:35,Scripted Exit All,1.15815,1,144725,43.75,0.03,62.5,0.04,-12.5,-0.01,-518.75,-5.19,27
13,Entrada en largo,2026-04-02 18:20,Scripted Long,1.1578,1,144725,43.75,0.03,62.5,0.04,-12.5,-0.01,-518.75,-5.19,27
