Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
1,Salida en corto,2026-03-24 06:00,Scripted Long,0.006348,1,78943.75,-406.25,-0.51,87.5,0.11,-737.5,-0.93,-406.25,-4.06,330
1,Entrada en corto,2026-03-23 01:30,Scripted Short,0.0063155,1,78943.75,-406.25,-0.51,87.5,0.11,-737.5,-0.93,-406.25,-4.06,330
2,Salida en largo,2026-03-24 16:10,Scripted Short,0.006333,1,79350,-187.5,-0.24,43.75,0.06,-275,-0.35,-593.75,-5.94,122
2,Entrada en largo,2026-03-24 06:00,Scripted Long,0.006348,1,79350,-187.5,-0.24,43.75,0.06,-275,-0.35,-593.75,-5.94,122
3,Salida en corto,2026-03-25 02:30,Scripted Exit All,0.006332,1,79162.5,12.5,0.02,25,0.03,-325,-0.41,-581.25,-5.81,112
3,Entrada en corto,2026-03-24 16:10,Scripted Short,0.006333,1,79162.5,12.5,0.02,25,0.03,-325,-0.41,-581.25,-5.81,112
4,Salida en corto,2026-03-26 07:50,Scripted Exit All,0.0063065,1,78925,93.75,0.12,100,0.13,-75,-0.10,-487.5,-4.87,76
4,Entrada en corto,2026-03-26 01:30,Scripted Short,0.006314,1,78925,93.75,0.12,100,0.13,-75,-0.10,-487.5,-4.87,76
5,Salida en largo,2026-04-01 02:45,Scripted Exit All,0.0063545,1,79275,156.25,0.20,175,0.22,-137.5,-0.17,-331.25,-3.31,43
5,Entrada en largo,2026-03-31 23:10,Scripted Long,0.006342,1,79275,156.25,0.20,175,0.22,-137.5,-0.17,-331.25,-3.31,43
6,Salida en corto,2026-04-06 11:00,Scripted Exit All,0.006298,1,78762.5,37.5,0.05,137.5,0.17,-168.75,-0.21,-293.75,-2.94,312
6,Entrada en corto,2026-04-03 02:00,Scripted Short,0.006301,1,78762.5,37.5,0.05,137.5,0.17,-168.75,-0.21,-293.75,-2.94,312
7,Salida en corto,2026-04-07 07:10,Scripted Exit All,0.006294,1,78700,25,0.03,62.5,0.08,-156.25,-0.20,-268.75,-2.69,71
7,Entrada en corto,2026-04-07 01:15,Scripted Short,0.006296,1,78700,25,0.03,62.5,0.08,-156.25,-0.20,-268.75,-2.69,71
