Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
1,Salida en corto,2026-03-25 18:05,Scripted Exit All,6636.25,1,332825,1012.5,0.30,2000,0.60,-1412.5,-0.42,1012.5,10.13,105
1,Entrada en corto,2026-03-25 08:20,Scripted Short,6656.5,1,332825,1012.5,0.30,2000,0.60,-1412.5,-0.42,1012.5,10.13,105
2,Salida en corto,2026-03-25 22:40,Scripted Exit All,6614.75,1,331637.5,900,0.27,1212.5,0.37,-350,-0.11,1912.5,19.13,21
2,Entrada en corto,2026-03-25 20:55,Scripted Short,6632.75,1,331637.5,900,0.27,1212.5,0.37,-350,-0.11,1912.5,19.13,21
3,Salida en corto,2026-03-26 21:00,Scripted Exit All,6537,1,327375,525,0.16,662.5,0.20,-87.5,-0.03,2437.5,24.38,8
3,Entrada en corto,2026-03-26 20:20,Scripted Short,6547.5,1,327375,525,0.16,662.5,0.20,-87.5,-0.03,2437.5,24.38,8
4,Salida en corto,2026-04-01 21:30,Scripted Exit All,6570.5,1,330550,2025,0.61,2237.5,0.68,-1025,-0.31,4462.5,44.63,5
4,Entrada en corto,2026-04-01 21:05,Scripted Short,6611,1,330550,2025,0.61,2237.5,0.68,-1025,-0.31,4462.5,44.63,5
5,Salida en corto,2026-04-06 09:35,Scripted Long,6636.5,1,331187.5,-637.5,-0.19,212.5,0.06,-675,-0.20,3825,38.25,6
5,Entrada en corto,2026-04-06 09:05,Scripted Short,6623.75,1,331187.5,-637.5,-0.19,212.5,0.06,-675,-0.20,3825,38.25,6
6,Salida en largo,2026-04-06 12:40,Scripted Exit All,6644.75,1,331825,412.5,0.12,1225,0.37,-937.5,-0.28,4237.5,42.38,37
6,Entrada en largo,2026-04-06 09:35,Scripted Long,6636.5,1,331825,412.5,0.12,1225,0.37,-937.5,-0.28,4237.5,42.38,37
7,Salida en largo,2026-04-07 16:15,Scripted Exit All,6663,1,331725,1425,0.43,1512.5,0.46,-625,-0.19,5662.5,56.63,11
7,Entrada en largo,2026-04-07 15:20,Scripted Long,6634.5,1,331725,1425,0.43,1512.5,0.46,-625,-0.19,5662.5,56.63,11
8,Salida en corto,2026-04-15 06:00,Scripted Exit All,7000.25,1,350287.5,275,0.08,325,0.09,0,0.00,5937.5,59.38,11
8,Entrada en corto,2026-04-15 05:05,Scripted Short,7005.75,1,350287.5,275,0.08,325,0.09,0,0.00,5937.5,59.38,11
9,Salida en corto,2026-04-16 10:20,Scripted Exit All,7050.25,1,353350,837.5,0.24,1025,0.29,-350,-0.10,6775,67.75,46
9,Entrada en corto,2026-04-16 06:30,Scripted Short,7067,1,353350,837.5,0.24,1025,0.29,-350,-0.10,6775,67.75,46
10,Salida en largo,2026-04-20 18:25,Scripted Exit All,7157.5,1,357162.5,712.5,0.20,875,0.24,-650,-0.18,7487.5,74.88,71
10,Entrada en largo,2026-04-20 11:30,Scripted Long,7143.25,1,357162.5,712.5,0.20,875,0.24,-650,-0.18,7487.5,74.88,71
11,Salida en largo,2026-04-21 20:10,Scripted Exit All,7135,1,356262.5,487.5,0.14,512.5,0.14,-350,-0.10,7975,79.75,35
11,Entrada en largo,2026-04-21 16:15,Scripted Long,7125.25,1,356262.5,487.5,0.14,512.5,0.14,-350,-0.10,7975,79.75,35
12,Salida en largo,2026-04-23 19:50,Scripted Exit All,7151.5,1,357162.5,412.5,0.12,487.5,0.14,-62.5,-0.02,8387.5,83.88,21
12,Entrada en largo,2026-04-23 18:05,Scripted Long,7143.25,1,357162.5,412.5,0.12,487.5,0.14,-62.5,-0.02,8387.5,83.88,21
