Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
1,Salida en largo,2026-03-30 22:50,Scripted Exit All,6451.5,1,322125,450,0.14,662.5,0.21,-4462.5,-1.39,450,4.50,130
1,Entrada en largo,2026-03-30 11:00,Scripted Long,6442.5,1,322125,450,0.14,662.5,0.21,-4462.5,-1.39,450,4.50,130
2,Salida en largo,2026-04-01 01:20,Scripted Exit All,6592.75,1,329200,437.5,0.13,475,0.14,-75,-0.02,887.5,8.88,11
2,Entrada en largo,2026-04-01 00:25,Scripted Long,6584,1,329200,437.5,0.13,475,0.14,-75,-0.02,887.5,8.88,11
3,Salida en corto,2026-04-01 14:15,Scripted Exit All,6626.5,1,332000,675,0.20,787.5,0.24,-687.5,-0.21,1562.5,15.63,21
3,Entrada en corto,2026-04-01 12:30,Scripted Short,6640,1,332000,675,0.20,787.5,0.24,-687.5,-0.21,1562.5,15.63,21
4,Salida en largo,2026-04-01 21:00,Scripted Exit All,6630.5,1,330962.5,562.5,0.17,775,0.23,-600,-0.18,2125,21.25,58
4,Entrada en largo,2026-04-01 15:10,Scripted Long,6619.25,1,330962.5,562.5,0.17,775,0.23,-600,-0.18,2125,21.25,58
5,Salida en corto,2026-04-02 06:20,Scripted Exit All,6530,1,327037.5,537.5,0.16,625,0.19,-337.5,-0.10,2662.5,26.63,14
5,Entrada en corto,2026-04-02 05:10,Scripted Short,6540.75,1,327037.5,537.5,0.16,625,0.19,-337.5,-0.10,2662.5,26.63,14
6,Salida en largo,2026-04-02 10:00,Scripted Exit All,6560.25,1,326775,1237.5,0.38,1375,0.42,-1587.5,-0.49,3900,39.00,39
6,Entrada en largo,2026-04-02 06:45,Scripted Long,6535.5,1,326775,1237.5,0.38,1375,0.42,-1587.5,-0.49,3900,39.00,39
7,Salida en corto,2026-04-05 23:20,Scripted Exit All,6599.25,1,331162.5,1200,0.36,1400,0.42,-62.5,-0.02,5100,51.00,7
7,Entrada en corto,2026-04-05 22:45,Scripted Short,6623.25,1,331162.5,1200,0.36,1400,0.42,-62.5,-0.02,5100,51.00,7
8,Salida en largo,2026-04-06 12:40,Scripted Exit All,6644.75,1,331562.5,675,0.20,1487.5,0.45,-675,-0.20,5775,57.75,49
8,Entrada en largo,2026-04-06 08:35,Scripted Long,6631.25,1,331562.5,675,0.20,1487.5,0.45,-675,-0.20,5775,57.75,49
9,Salida en largo,2026-04-06 15:50,Scripted Exit All,6651,1,331875,675,0.20,700,0.21,-37.5,-0.01,6450,64.50,19
9,Entrada en largo,2026-04-06 14:15,Scripted Long,6637.5,1,331875,675,0.20,700,0.21,-37.5,-0.01,6450,64.50,19
10,Salida en corto,2026-04-06 21:50,Scripted Exit All,6624.25,1,332262.5,1050,0.32,1062.5,0.32,-475,-0.14,7500,75.00,41
10,Entrada en corto,2026-04-06 18:25,Scripted Short,6645.25,1,332262.5,1050,0.32,1062.5,0.32,-475,-0.14,7500,75.00,41
11,Salida en largo,2026-04-07 14:40,Scripted Short,6622.5,1,331162.5,-37.5,-0.01,1162.5,0.35,-2525,-0.76,7462.5,74.63,75
11,Entrada en largo,2026-04-07 08:25,Scripted Long,6623.25,1,331162.5,-37.5,-0.01,1162.5,0.35,-2525,-0.76,7462.5,74.63,75
12,Salida en corto,2026-04-07 15:05,Scripted Exit All,6603.25,1,331125,962.5,0.29,1275,0.39,-37.5,-0.01,8425,84.25,5
12,Entrada en corto,2026-04-07 14:40,Scripted Short,6622.5,1,331125,962.5,0.29,1275,0.39,-37.5,-0.01,8425,84.25,5
13,Salida en corto,2026-04-08 09:45,Scripted Exit All,6816.5,1,341637.5,812.5,0.24,975,0.29,-200,-0.06,9237.5,92.38,17
13,Entrada en corto,2026-04-08 08:20,Scripted Short,6832.75,1,341637.5,812.5,0.24,975,0.29,-200,-0.06,9237.5,92.38,17
14,Salida en corto,2026-04-09 03:50,Scripted Exit All,6796.25,1,340887.5,1075,0.32,1262.5,0.37,-675,-0.20,10312.5,103.13,161
14,Entrada en corto,2026-04-08 13:25,Scripted Short,6817.75,1,340887.5,1075,0.32,1262.5,0.37,-675,-0.20,10312.5,103.13,161
15,Salida en largo,2026-04-09 09:45,Scripted Exit All,6819.25,1,340037.5,925,0.27,1050,0.31,-412.5,-0.12,11237.5,112.38,60
15,Entrada en largo,2026-04-09 04:45,Scripted Long,6800.75,1,340037.5,925,0.27,1050,0.31,-412.5,-0.12,11237.5,112.38,60
16,Salida en largo,2026-04-09 21:10,Scripted Exit All,6862.75,1,342875,262.5,0.08,400,0.12,-275,-0.08,11500,115.00,16
16,Entrada en largo,2026-04-09 19:50,Scripted Long,6857.5,1,342875,262.5,0.08,400,0.12,-275,-0.08,11500,115.00,16
17,Salida en corto,2026-04-10 02:20,Scripted Exit All,6857.25,1,343125,262.5,0.08,300,0.09,-300,-0.09,11762.5,117.63,51
17,Entrada en corto,2026-04-09 22:05,Scripted Short,6862.5,1,343125,262.5,0.08,300,0.09,-300,-0.09,11762.5,117.63,51
18,Salida en largo,2026-04-13 12:35,Scripted Exit All,6875.25,1,342850,912.5,0.27,1237.5,0.36,-4500,-1.31,12675,126.75,260
18,Entrada en largo,2026-04-10 13:55,Scripted Long,6857,1,342850,912.5,0.27,1237.5,0.36,-4500,-1.31,12675,126.75,260
19,Salida en largo,2026-04-14 03:10,Scripted Exit All,6935.5,1,346150,625,0.18,675,0.20,-25,-0.01,13300,133.00,8
19,Entrada en largo,2026-04-14 02:30,Scripted Long,6923,1,346150,625,0.18,675,0.20,-25,-0.01,13300,133.00,8
20,Salida en largo,2026-04-15 08:40,Scripted Exit All,7010.25,1,350075,437.5,0.12,825,0.24,-100,-0.03,13737.5,137.38,23
20,Entrada en largo,2026-04-15 06:45,Scripted Long,7001.5,1,350075,437.5,0.12,825,0.24,-100,-0.03,13737.5,137.38,23
21,Salida en largo,2026-04-16 02:10,Scripted Exit All,7076.5,1,353562.5,262.5,0.07,312.5,0.09,-12.5,0.00,14000,140.00,9
21,Entrada en largo,2026-04-16 01:25,Scripted Long,7071.25,1,353562.5,262.5,0.07,312.5,0.09,-12.5,0.00,14000,140.00,9
22,Salida en corto,2026-04-16 04:10,Scripted Exit All,7068,1,353700,300,0.08,400,0.11,-150,-0.04,14300,143.00,12
22,Entrada en corto,2026-04-16 03:10,Scripted Short,7074,1,353700,300,0.08,400,0.11,-150,-0.04,14300,143.00,12
23,Salida en largo,2026-04-16 06:05,Scripted Exit All,7069.75,1,353300,187.5,0.05,225,0.06,-50,-0.01,14487.5,144.88,16
23,Entrada en largo,2026-04-16 04:45,Scripted Long,7066,1,353300,187.5,0.05,225,0.06,-50,-0.01,14487.5,144.88,16
24,Salida en corto,2026-04-16 10:20,Scripted Exit All,7050.25,1,353375,862.5,0.24,1050,0.30,-175,-0.05,15350,153.50,8
24,Entrada en corto,2026-04-16 09:40,Scripted Short,7067.5,1,353375,862.5,0.24,1050,0.30,-175,-0.05,15350,153.50,8
25,Salida en largo,2026-04-16 12:10,Scripted Exit All,7084.75,1,353337.5,900,0.25,1000,0.28,-112.5,-0.03,16250,162.50,13
25,Entrada en largo,2026-04-16 11:05,Scripted Long,7066.75,1,353337.5,900,0.25,1000,0.28,-112.5,-0.03,16250,162.50,13
26,Salida en largo,2026-04-16 16:40,Scripted Exit All,7078.75,1,353575,362.5,0.10,462.5,0.13,-200,-0.06,16612.5,166.13,19
26,Entrada en largo,2026-04-16 15:05,Scripted Long,7071.5,1,353575,362.5,0.10,462.5,0.13,-200,-0.06,16612.5,166.13,19
27,Salida en largo,2026-04-17 04:30,Scripted Exit All,7087.5,1,354037.5,337.5,0.10,362.5,0.10,-275,-0.08,16950,169.50,52
27,Entrada en largo,2026-04-17 00:10,Scripted Long,7080.75,1,354037.5,337.5,0.10,362.5,0.10,-275,-0.08,16950,169.50,52
28,Salida en largo,2026-04-20 14:40,Scripted Short,7139.5,1,358087.5,-1112.5,-0.31,225,0.06,-3837.5,-1.07,15837.5,158.38,264
28,Entrada en largo,2026-04-17 15:40,Scripted Long,7161.75,1,358087.5,-1112.5,-0.31,225,0.06,-3837.5,-1.07,15837.5,158.38,264
29,Salida en corto,2026-04-21 11:40,Scripted Exit All,7126.5,1,356975,650,0.18,1012.5,0.28,-2175,-0.61,16487.5,164.88,240
29,Entrada en corto,2026-04-20 14:40,Scripted Short,7139.5,1,356975,650,0.18,1012.5,0.28,-2175,-0.61,16487.5,164.88,240
30,Salida en corto,2026-04-22 01:00,Scripted Exit All,7130.25,1,356750,237.5,0.07,275,0.08,-400,-0.11,16725,167.25,50
30,Entrada en corto,2026-04-21 20:50,Scripted Short,7135,1,356750,237.5,0.07,275,0.08,-400,-0.11,16725,167.25,50
31,Salida en corto,2026-04-22 20:30,Scripted Long,7153.25,1,356962.5,-700,-0.20,1687.5,0.47,-1687.5,-0.47,16025,160.25,184
31,Entrada en corto,2026-04-22 04:10,Scripted Short,7139.25,1,356962.5,-700,-0.20,1687.5,0.47,-1687.5,-0.47,16025,160.25,184
32,Salida en largo,2026-04-23 08:15,Scripted Exit All,7164.5,1,357662.5,562.5,0.16,812.5,0.23,-1725,-0.48,16587.5,165.88,141
32,Entrada en largo,2026-04-22 20:30,Scripted Long,7153.25,1,357662.5,562.5,0.16,812.5,0.23,-1725,-0.48,16587.5,165.88,141
33,Salida en corto,2026-04-27 09:35,Scripted Long,7191.5,1,356587.5,-2987.5,-0.84,112.5,0.03,-3837.5,-1.08,13600,136.00,464
33,Entrada en corto,2026-04-23 16:55,Scripted Short,7131.75,1,356587.5,-2987.5,-0.84,112.5,0.03,-3837.5,-1.08,13600,136.00,464
34,Salida en largo,2026-04-27 13:10,Scripted Exit All,7197,1,359575,275,0.08,375,0.10,-725,-0.20,13875,138.75,43
34,Entrada en largo,2026-04-27 09:35,Scripted Long,7191.5,1,359575,275,0.08,375,0.10,-725,-0.20,13875,138.75,43
35,Salida en largo,2026-04-28 15:35,Scripted Short,7166.75,1,360525,-2187.5,-0.61,125,0.03,-3212.5,-0.89,11687.5,116.88,193
35,Entrada en largo,2026-04-27 23:30,Scripted Long,7210.5,1,360525,-2187.5,-0.61,125,0.03,-3212.5,-0.89,11687.5,116.88,193
36,Salida en corto,2026-04-29 04:30,Scripted Long,7175.5,1,358337.5,-437.5,-0.12,25,0.01,-1087.5,-0.30,11250,112.50,143
36,Entrada en corto,2026-04-28 15:35,Scripted Short,7166.75,1,358337.5,-437.5,-0.12,25,0.01,-1087.5,-0.30,11250,112.50,143
37,Salida en largo,2026-04-29 07:10,Scripted Short,7174.75,1,358775,-37.5,-0.01,275,0.08,-450,-0.13,11212.5,112.13,32
37,Entrada en largo,2026-04-29 04:30,Scripted Long,7175.5,1,358775,-37.5,-0.01,275,0.08,-450,-0.13,11212.5,112.13,32
38,Salida en corto,2026-04-29 08:35,Scripted Exit All,7163,1,358737.5,587.5,0.16,675,0.19,-262.5,-0.07,11800,118.00,17
38,Entrada en corto,2026-04-29 07:10,Scripted Short,7174.75,1,358737.5,587.5,0.16,675,0.19,-262.5,-0.07,11800,118.00,17
39,Salida en largo,2026-04-29 10:45,Scripted Exit All,7172,1,358075,525,0.15,687.5,0.19,-50,-0.01,12325,123.25,7
39,Entrada en largo,2026-04-29 10:10,Scripted Long,7161.5,1,358075,525,0.15,687.5,0.19,-50,-0.01,12325,123.25,7
40,Salida en corto,2026-05-01 13:25,Scripted Long,7279,1,362912.5,-1037.5,-0.29,62.5,0.02,-2125,-0.59,11287.5,112.87,56
40,Entrada en corto,2026-05-01 08:45,Scripted Short,7258.25,1,362912.5,-1037.5,-0.29,62.5,0.02,-2125,-0.59,11287.5,112.87,56
41,Salida en largo,2026-05-04 11:00,Scripted Short,7259,1,363950,-1000,-0.27,237.5,0.07,-3262.5,-0.90,10287.5,102.88,247
