Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
1,Salida en corto,2026-03-06 15:35,Scripted Exit All,0.006335,1,79268.75,81.25,0.10,150,0.19,-143.75,-0.18,81.25,0.81,80
1,Entrada en corto,2026-03-06 08:55,Scripted Short,0.0063415,1,79268.75,81.25,0.10,150,0.19,-143.75,-0.18,81.25,0.81,80
2,Salida en corto,2026-03-11 10:45,Scripted Exit All,0.006306,1,78900,75,0.10,87.5,0.11,-631.25,-0.80,156.25,1.56,652
2,Entrada en corto,2026-03-09 02:25,Scripted Short,0.006312,1,78900,75,0.10,87.5,0.11,-631.25,-0.80,156.25,1.56,652
3,Salida en corto,2026-03-13 11:55,Scripted Exit All,0.006317,1,79050,87.5,0.11,112.5,0.14,-181.25,-0.23,243.75,2.44,45
3,Entrada en corto,2026-03-13 08:10,Scripted Short,0.006324,1,79050,87.5,0.11,112.5,0.14,-181.25,-0.23,243.75,2.44,45
4,Salida en corto,2026-03-16 21:15,Scripted Exit All,0.006324,1,79062.5,12.5,0.02,31.25,0.04,-243.75,-0.31,256.25,2.56,201
4,Entrada en corto,2026-03-16 03:30,Scripted Short,0.006325,1,79062.5,12.5,0.02,31.25,0.04,-243.75,-0.31,256.25,2.56,201
5,Salida en corto,2026-03-18 08:45,Scripted Exit All,0.0063205,1,79050,43.75,0.06,81.25,0.10,-356.25,-0.45,300,3.00,361
5,Entrada en corto,2026-03-17 01:40,Scripted Short,0.006324,1,79050,43.75,0.06,81.25,0.10,-356.25,-0.45,300,3.00,361
6,Salida en corto,2026-03-24 06:00,Scripted Long,0.006348,1,78943.75,-406.25,-0.51,87.5,0.11,-737.5,-0.93,-106.25,-1.06,330
6,Entrada en corto,2026-03-23 01:30,Scripted Short,0.0063155,1,78943.75,-406.25,-0.51,87.5,0.11,-737.5,-0.93,-106.25,-1.06,330
