Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
1,Salida en largo,2026-03-05 05:30,Scripted Exit All,6876.5,1,343437.5,387.5,0.11,1262.5,0.37,-1412.5,-0.41,387.5,3.88,92
1,Entrada en largo,2026-03-04 21:50,Scripted Long,6868.75,1,343437.5,387.5,0.11,1262.5,0.37,-1412.5,-0.41,387.5,3.88,92
2,Salida en corto,2026-03-05 08:05,Scripted Exit All,6858,1,343475,575,0.17,650,0.19,-562.5,-0.16,962.5,9.63,17
2,Entrada en corto,2026-03-05 06:40,Scripted Short,6869.5,1,343475,575,0.17,650,0.19,-562.5,-0.16,962.5,9.63,17
3,Salida en largo,2026-03-05 23:30,Scripted Short,6844,1,343150,-950,-0.28,725,0.21,-4300,-1.25,12.5,0.13,155
3,Entrada en largo,2026-03-05 09:35,Scripted Long,6863,1,343150,-950,-0.28,725,0.21,-4300,-1.25,12.5,0.13,155
4,Salida en corto,2026-03-06 04:20,Scripted Exit All,6821.75,1,342200,1112.5,0.33,1275,0.37,-500,-0.15,1125,11.25,58
4,Entrada en corto,2026-03-05 23:30,Scripted Short,6844,1,342200,1112.5,0.33,1275,0.37,-500,-0.15,1125,11.25,58
5,Salida en corto,2026-03-06 16:30,Scripted Exit All,6734.5,1,337887.5,1162.5,0.34,1425,0.42,-1050,-0.31,2287.5,22.88,31
5,Entrada en corto,2026-03-06 13:55,Scripted Short,6757.75,1,337887.5,1162.5,0.34,1425,0.42,-1050,-0.31,2287.5,22.88,31
6,Salida en corto,2026-03-10 00:05,Scripted Exit All,6769.5,1,338975,500,0.15,750,0.22,-387.5,-0.11,2787.5,27.88,15
6,Entrada en corto,2026-03-09 22:50,Scripted Short,6779.5,1,338975,500,0.15,750,0.22,-387.5,-0.11,2787.5,27.88,15
7,Salida en corto,2026-03-11 02:20,Scripted Exit All,6802,1,340712.5,612.5,0.18,750,0.22,-412.5,-0.12,3400,34.00,51
7,Entrada en corto,2026-03-10 22:05,Scripted Short,6814.25,1,340712.5,612.5,0.18,750,0.22,-412.5,-0.12,3400,34.00,51
8,Salida en corto,2026-03-11 08:55,Scripted Exit All,6770.25,1,339450,937.5,0.28,1250,0.37,-775,-0.23,4337.5,43.38,17
8,Entrada en corto,2026-03-11 07:30,Scripted Short,6789,1,339450,937.5,0.28,1250,0.37,-775,-0.23,4337.5,43.38,17
9,Salida en largo,2026-03-16 15:20,Scripted Short,6707.25,1,338725,-3362.5,-0.99,500,0.15,-8300,-2.45,975,9.75,861
9,Entrada en largo,2026-03-11 12:35,Scripted Long,6774.5,1,338725,-3362.5,-0.99,500,0.15,-8300,-2.45,975,9.75,861
10,Salida en corto,2026-03-17 03:20,Scripted Long,6727.25,1,335362.5,-1000,-0.30,562.5,0.17,-2262.5,-0.67,-25,-0.25,132
10,Entrada en corto,2026-03-16 15:20,Scripted Short,6707.25,1,335362.5,-1000,-0.30,562.5,0.17,-2262.5,-0.67,-25,-0.25,132
11,Salida en largo,2026-03-17 05:25,Scripted Exit All,6738,1,336362.5,537.5,0.16,587.5,0.17,-387.5,-0.12,512.5,5.13,25
11,Entrada en largo,2026-03-17 03:20,Scripted Long,6727.25,1,336362.5,537.5,0.16,587.5,0.17,-387.5,-0.12,512.5,5.13,25
12,Salida en corto,2026-03-17 13:05,Scripted Long,6782.5,1,336837.5,-2287.5,-0.68,100,0.03,-3587.5,-1.07,-1775,-17.75,81
12,Entrada en corto,2026-03-17 06:20,Scripted Short,6736.75,1,336837.5,-2287.5,-0.68,100,0.03,-3587.5,-1.07,-1775,-17.75,81
13,Salida en largo,2026-03-17 21:15,Scripted Exit All,6783.75,1,339125,62.5,0.02,250,0.07,-887.5,-0.26,-1712.5,-17.12,86
13,Entrada en largo,2026-03-17 13:05,Scripted Long,6782.5,1,339125,62.5,0.02,250,0.07,-887.5,-0.26,-1712.5,-17.12,86
14,Salida en corto,2026-03-18 09:00,Scripted Exit All,6737,1,339137.5,2287.5,0.67,2450,0.72,-1562.5,-0.46,575,5.75,133
14,Entrada en corto,2026-03-17 21:55,Scripted Short,6782.75,1,339137.5,2287.5,0.67,2450,0.72,-1562.5,-0.46,575,5.75,133
15,Salida en corto,2026-03-19 01:40,Scripted Exit All,6669.75,1,333700,212.5,0.06,387.5,0.12,-1050,-0.31,787.5,7.88,44
15,Entrada en corto,2026-03-18 22:00,Scripted Short,6674,1,333700,212.5,0.06,387.5,0.12,-1050,-0.31,787.5,7.88,44
16,Salida en corto,2026-03-19 08:25,Scripted Exit All,6644,1,333112.5,912.5,0.27,987.5,0.30,-50,-0.02,1700,17.00,13
16,Entrada en corto,2026-03-19 07:20,Scripted Short,6662.25,1,333112.5,912.5,0.27,987.5,0.30,-50,-0.02,1700,17.00,13
17,Salida en largo,2026-03-19 15:10,Scripted Exit All,6679.25,1,331900,2062.5,0.62,2700,0.81,-700,-0.21,3762.5,37.63,15
17,Entrada en largo,2026-03-19 13:55,Scripted Long,6638,1,331900,2062.5,0.62,2700,0.81,-700,-0.21,3762.5,37.63,15
18,Salida en corto,2026-03-20 03:05,Scripted Exit All,6646.25,1,333075,762.5,0.23,912.5,0.27,-1200,-0.36,4525,45.25,126
18,Entrada en corto,2026-03-19 15:35,Scripted Short,6661.5,1,333075,762.5,0.23,912.5,0.27,-1200,-0.36,4525,45.25,126
19,Salida en largo,2026-03-20 09:30,Scripted Exit All,6642.75,1,331575,562.5,0.17,825,0.25,-475,-0.14,5087.5,50.88,34
19,Entrada en largo,2026-03-20 06:40,Scripted Long,6631.5,1,331575,562.5,0.17,825,0.25,-475,-0.14,5087.5,50.88,34
20,Salida en largo,2026-03-24 02:55,Scripted Exit All,6629.25,1,330637.5,825,0.25,6762.5,2.05,-6462.5,-1.95,5912.5,59.13,442
20,Entrada en largo,2026-03-20 12:05,Scripted Long,6612.75,1,330637.5,825,0.25,6762.5,2.05,-6462.5,-1.95,5912.5,59.13,442
21,Salida en corto,2026-03-24 13:20,Scripted Exit All,6603,1,331087.5,937.5,0.28,1075,0.32,-812.5,-0.25,6850,68.50,15
21,Entrada en corto,2026-03-24 12:05,Scripted Short,6621.75,1,331087.5,937.5,0.28,1075,0.32,-812.5,-0.25,6850,68.50,15
22,Salida en corto,2026-03-25 18:05,Scripted Exit All,6636.25,1,332837.5,1025,0.31,2012.5,0.60,-1400,-0.42,7875,78.75,146
22,Entrada en corto,2026-03-25 04:55,Scripted Short,6656.75,1,332837.5,1025,0.31,2012.5,0.60,-1400,-0.42,7875,78.75,146
23,Salida en corto,2026-03-26 02:00,Scripted Exit All,6613,1,331325,675,0.20,725,0.22,-200,-0.06,8550,85.50,12
23,Entrada en corto,2026-03-26 01:00,Scripted Short,6626.5,1,331325,675,0.20,725,0.22,-200,-0.06,8550,85.50,12
24,Salida en corto,2026-03-26 12:25,Scripted Exit All,6575.75,1,329962.5,1175,0.36,1450,0.44,-262.5,-0.08,9725,97.25,20
24,Entrada en corto,2026-03-26 10:45,Scripted Short,6599.25,1,329962.5,1175,0.36,1450,0.44,-262.5,-0.08,9725,97.25,20
25,Salida en largo,2026-03-27 01:10,Scripted Exit All,6560.75,1,327387.5,650,0.20,700,0.21,-475,-0.15,10375,103.75,44
25,Entrada en largo,2026-03-26 21:30,Scripted Long,6547.75,1,327387.5,650,0.20,700,0.21,-475,-0.15,10375,103.75,44
26,Salida en largo,2026-03-31 13:00,Scripted Exit All,6534.75,1,326337.5,400,0.12,1837.5,0.56,-8675,-2.66,10775,107.75,642
26,Entrada en largo,2026-03-27 05:30,Scripted Long,6526.75,1,326337.5,400,0.12,1837.5,0.56,-8675,-2.66,10775,107.75,642
27,Salida en largo,2026-04-01 01:20,Scripted Exit All,6592.75,1,329200,437.5,0.13,475,0.14,-75,-0.02,11212.5,112.13,11
27,Entrada en largo,2026-04-01 00:25,Scripted Long,6584,1,329200,437.5,0.13,475,0.14,-75,-0.02,11212.5,112.13,11
28,Salida en corto,2026-04-01 14:15,Scripted Exit All,6626.5,1,332000,675,0.20,787.5,0.24,-687.5,-0.21,11887.5,118.88,21
28,Entrada en corto,2026-04-01 12:30,Scripted Short,6640,1,332000,675,0.20,787.5,0.24,-687.5,-0.21,11887.5,118.88,21
29,Salida en largo,2026-04-01 21:00,Scripted Exit All,6630.5,1,330962.5,562.5,0.17,775,0.23,-600,-0.18,12450,124.50,58
29,Entrada en largo,2026-04-01 15:10,Scripted Long,6619.25,1,330962.5,562.5,0.17,775,0.23,-600,-0.18,12450,124.50,58
30,Salida en corto,2026-04-02 06:20,Scripted Exit All,6530,1,327037.5,537.5,0.16,625,0.19,-337.5,-0.10,12987.5,129.88,14
30,Entrada en corto,2026-04-02 05:10,Scripted Short,6540.75,1,327037.5,537.5,0.16,625,0.19,-337.5,-0.10,12987.5,129.88,14
31,Salida en largo,2026-04-02 10:00,Scripted Exit All,6560.25,1,326775,1237.5,0.38,1375,0.42,-1587.5,-0.49,14225,142.25,39
31,Entrada en largo,2026-04-02 06:45,Scripted Long,6535.5,1,326775,1237.5,0.38,1375,0.42,-1587.5,-0.49,14225,142.25,39
32,Salida en corto,2026-04-05 23:20,Scripted Exit All,6599.25,1,331162.5,1200,0.36,1400,0.42,-62.5,-0.02,15425,154.25,7
32,Entrada en corto,2026-04-05 22:45,Scripted Short,6623.25,1,331162.5,1200,0.36,1400,0.42,-62.5,-0.02,15425,154.25,7
33,Salida en largo,2026-04-06 12:40,Scripted Exit All,6644.75,1,331562.5,675,0.20,1487.5,0.45,-675,-0.20,16100,161.00,49
33,Entrada en largo,2026-04-06 08:35,Scripted Long,6631.25,1,331562.5,675,0.20,1487.5,0.45,-675,-0.20,16100,161.00,49
34,Salida en largo,2026-04-06 15:50,Scripted Exit All,6651,1,331875,675,0.20,700,0.21,-37.5,-0.01,16775,167.75,19
