Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
1,Salida en largo,2026-03-09 11:55,Scripted Exit All,6714,1,333775,1925,0.58,2087.5,0.63,-1725,-0.52,1925,19.25,22
1,Entrada en largo,2026-03-09 10:05,Scripted Long,6675.5,1,333775,1925,0.58,2087.5,0.63,-1725,-0.52,1925,19.25,22
2,Salida en corto,2026-03-11 18:55,Scripted Exit All,6740.5,1,338012.5,987.5,0.29,1250,0.37,-1112.5,-0.33,2912.5,29.13,51
2,Entrada en corto,2026-03-11 13:40,Scripted Short,6760.25,1,338012.5,987.5,0.29,1250,0.37,-1112.5,-0.33,2912.5,29.13,51
3,Salida en largo,2026-03-16 08:00,Scripted Exit All,6688.25,1,333950,462.5,0.14,600,0.18,-1350,-0.40,3375,33.75,46
3,Entrada en largo,2026-03-16 04:10,Scripted Long,6679,1,333950,462.5,0.14,600,0.18,-1350,-0.40,3375,33.75,46
4,Salida en corto,2026-03-17 18:40,Scripted Exit All,6766.25,1,338675,362.5,0.11,412.5,0.12,-350,-0.10,3737.5,37.38,39
4,Entrada en corto,2026-03-17 14:25,Scripted Short,6773.5,1,338675,362.5,0.11,412.5,0.12,-350,-0.10,3737.5,37.38,39
5,Salida en corto,2026-03-20 00:20,Scripted Exit All,6668.5,1,333775,350,0.10,375,0.11,-187.5,-0.06,4087.5,40.88,28
5,Entrada en corto,2026-03-19 22:00,Scripted Short,6675.5,1,333775,350,0.10,375,0.11,-187.5,-0.06,4087.5,40.88,28
6,Salida en corto,2026-03-25 18:05,Scripted Exit All,6636.25,1,332825,1012.5,0.30,2000,0.60,-1412.5,-0.42,5100,51.00,105
6,Entrada en corto,2026-03-25 08:20,Scripted Short,6656.5,1,332825,1012.5,0.30,2000,0.60,-1412.5,-0.42,5100,51.00,105
7,Salida en corto,2026-03-25 22:40,Scripted Exit All,6614.75,1,331637.5,900,0.27,1212.5,0.37,-350,-0.11,6000,60.00,21
7,Entrada en corto,2026-03-25 20:55,Scripted Short,6632.75,1,331637.5,900,0.27,1212.5,0.37,-350,-0.11,6000,60.00,21
8,Salida en corto,2026-03-26 21:00,Scripted Exit All,6537,1,327375,525,0.16,662.5,0.20,-87.5,-0.03,6525,65.25,8
8,Entrada en corto,2026-03-26 20:20,Scripted Short,6547.5,1,327375,525,0.16,662.5,0.20,-87.5,-0.03,6525,65.25,8
9,Salida en corto,2026-04-01 21:30,Scripted Exit All,6570.5,1,330550,2025,0.61,2237.5,0.68,-1025,-0.31,8550,85.50,5
9,Entrada en corto,2026-04-01 21:05,Scripted Short,6611,1,330550,2025,0.61,2237.5,0.68,-1025,-0.31,8550,85.50,5
10,Salida en corto,2026-04-06 09:35,Scripted Long,6636.5,1,331187.5,-637.5,-0.19,212.5,0.06,-675,-0.20,7912.5,79.13,6
10,Entrada en corto,2026-04-06 09:05,Scripted Short,6623.75,1,331187.5,-637.5,-0.19,212.5,0.06,-675,-0.20,7912.5,79.13,6
11,Salida en largo,2026-04-06 12:40,Scripted Exit All,6644.75,1,331825,412.5,0.12,1225,0.37,-937.5,-0.28,8325,83.25,37
11,Entrada en largo,2026-04-06 09:35,Scripted Long,6636.5,1,331825,412.5,0.12,1225,0.37,-937.5,-0.28,8325,83.25,37
12,Salida en largo,2026-04-07 16:15,Scripted Exit All,6663,1,331725,1425,0.43,1512.5,0.46,-625,-0.19,9750,97.50,11
12,Entrada en largo,2026-04-07 15:20,Scripted Long,6634.5,1,331725,1425,0.43,1512.5,0.46,-625,-0.19,9750,97.50,11
13,Salida en corto,2026-04-15 06:00,Scripted Exit All,7000.25,1,350287.5,275,0.08,325,0.09,0,0.00,10025,100.25,11
13,Entrada en corto,2026-04-15 05:05,Scripted Short,7005.75,1,350287.5,275,0.08,325,0.09,0,0.00,10025,100.25,11
14,Salida en corto,2026-04-16 10:20,Scripted Exit All,7050.25,1,353350,837.5,0.24,1025,0.29,-350,-0.10,10862.5,108.63,46
14,Entrada en corto,2026-04-16 06:30,Scripted Short,7067,1,353350,837.5,0.24,1025,0.29,-350,-0.10,10862.5,108.63,46
15,Salida en largo,2026-04-20 18:25,Scripted Exit All,7157.5,1,357162.5,712.5,0.20,875,0.24,-650,-0.18,11575,115.75,71
15,Entrada en largo,2026-04-20 11:30,Scripted Long,7143.25,1,357162.5,712.5,0.20,875,0.24,-650,-0.18,11575,115.75,71
16,Salida en largo,2026-04-21 20:10,Scripted Exit All,7135,1,356262.5,487.5,0.14,512.5,0.14,-350,-0.10,12062.5,120.63,35
16,Entrada en largo,2026-04-21 16:15,Scripted Long,7125.25,1,356262.5,487.5,0.14,512.5,0.14,-350,-0.10,12062.5,120.63,35
17,Salida en largo,2026-04-23 19:50,Scripted Exit All,7151.5,1,357162.5,412.5,0.12,487.5,0.14,-62.5,-0.02,12475,124.75,21
17,Entrada en largo,2026-04-23 18:05,Scripted Long,7143.25,1,357162.5,412.5,0.12,487.5,0.14,-62.5,-0.02,12475,124.75,21
18,Salida en corto,2026-04-24 03:05,Scripted Long,7151.25,1,356900,-662.5,-0.19,50,0.01,-725,-0.20,11812.5,118.12,32
18,Entrada en corto,2026-04-24 00:25,Scripted Short,7138,1,356900,-662.5,-0.19,50,0.01,-725,-0.20,11812.5,118.12,32
19,Salida en largo,2026-04-24 07:15,Scripted Exit All,7170.5,1,357562.5,962.5,0.27,1225,0.34,-787.5,-0.22,12775,127.75,50
19,Entrada en largo,2026-04-24 03:05,Scripted Long,7151.25,1,357562.5,962.5,0.27,1225,0.34,-787.5,-0.22,12775,127.75,50
20,Salida en largo,2026-04-24 12:00,Scripted Exit All,7193.5,1,358462.5,1212.5,0.34,1400,0.39,-1212.5,-0.34,13987.5,139.88,32
20,Entrada en largo,2026-04-24 09:20,Scripted Long,7169.25,1,358462.5,1212.5,0.34,1400,0.39,-1212.5,-0.34,13987.5,139.88,32
21,Salida en corto,2026-04-28 07:20,Scripted Exit All,7173.75,1,359175,487.5,0.14,512.5,0.14,-1987.5,-0.55,14475,144.75,246
21,Entrada en corto,2026-04-27 09:50,Scripted Short,7183.5,1,359175,487.5,0.14,512.5,0.14,-1987.5,-0.55,14475,144.75,246
22,Salida en corto,2026-05-06 13:20,Scripted Long,7365,1,356887.5,-11362.5,-3.18,325,0.09,-11862.5,-3.32,3112.5,31.13,1345
22,Entrada en corto,2026-04-29 16:15,Scripted Short,7137.75,1,356887.5,-11362.5,-3.18,325,0.09,-11862.5,-3.32,3112.5,31.13,1345
23,Salida en largo,2026-05-06 14:10,Scripted Exit All,7374.75,1,368250,487.5,0.13,500,0.14,-25,-0.01,3600,36.00,10
23,Entrada en largo,2026-05-06 13:20,Scripted Long,7365,1,368250,487.5,0.13,500,0.14,-25,-0.01,3600,36.00,10
24,Salida en largo,2026-05-08 01:45,Scripted Exit All,7383.5,1,368937.5,237.5,0.06,337.5,0.09,-262.5,-0.07,3837.5,38.38,35
24,Entrada en largo,2026-05-07 22:50,Scripted Long,7378.75,1,368937.5,237.5,0.06,337.5,0.09,-262.5,-0.07,3837.5,38.38,35
25,Salida en largo,2026-05-10 23:45,Scripted Exit All,7414.75,1,370475,262.5,0.07,300,0.08,-187.5,-0.05,4100,41.00,29
25,Entrada en largo,2026-05-10 21:20,Scripted Long,7409.5,1,370475,262.5,0.07,300,0.08,-187.5,-0.05,4100,41.00,29
26,Salida en largo,2026-05-12 16:00,Scripted Exit All,7428,1,370550,850,0.23,1137.5,0.31,-2387.5,-0.64,4950,49.50,100
26,Entrada en largo,2026-05-12 07:40,Scripted Long,7411,1,370550,850,0.23,1137.5,0.31,-2387.5,-0.64,4950,49.50,100
27,Salida en largo,2026-05-15 09:40,Scripted Short,7432.25,1,376275,-4662.5,-1.24,50,0.01,-4787.5,-1.27,287.5,2.88,160
27,Entrada en largo,2026-05-14 20:20,Scripted Long,7525.5,1,376275,-4662.5,-1.24,50,0.01,-4787.5,-1.27,287.5,2.88,160
28,Salida en corto,2026-05-15 16:45,Scripted Exit All,7417,1,371612.5,762.5,0.21,1150,0.31,-2175,-0.59,1050,10.50,85
28,Entrada en corto,2026-05-15 09:40,Scripted Short,7432.25,1,371612.5,762.5,0.21,1150,0.31,-2175,-0.59,1050,10.50,85
29,Salida en largo,2026-05-21 00:55,Scripted Exit All,7450.75,1,372462.5,75,0.02,437.5,0.12,-4750,-1.28,1125,11.25,720
29,Entrada en largo,2026-05-18 09:55,Scripted Long,7449.25,1,372462.5,75,0.02,437.5,0.12,-4750,-1.28,1125,11.25,720
30,Salida en largo,2026-05-28 12:25,Scripted Exit All,7580.5,1,378150,875,0.23,987.5,0.26,-2862.5,-0.76,2000,20.00,814
30,Entrada en largo,2026-05-25 09:35,Scripted Long,7563,1,378150,875,0.23,987.5,0.26,-2862.5,-0.76,2000,20.00,814
31,Salida en largo,2026-06-04 03:00,Scripted Exit All,7552.75,1,377237.5,400,0.11,412.5,0.11,-262.5,-0.07,2400,24.00,15
31,Entrada en largo,2026-06-04 01:45,Scripted Long,7544.75,1,377237.5,400,0.11,412.5,0.11,-262.5,-0.07,2400,24.00,15
32,Salida en corto,2026-06-10 01:00,Scripted Exit All,7358,1,368575,675,0.18,775,0.21,-925,-0.25,3075,30.75,53
32,Entrada en corto,2026-06-09 20:35,Scripted Short,7371.5,1,368575,675,0.18,775,0.21,-925,-0.25,3075,30.75,53
33,Salida en largo,2026-06-11 15:20,Scripted Exit All,7393.75,1,367262.5,2425,0.66,2462.5,0.67,-162.5,-0.04,5500,55.00,22
33,Entrada en largo,2026-06-11 13:30,Scripted Long,7345.25,1,367262.5,2425,0.66,2462.5,0.67,-162.5,-0.04,5500,55.00,22
34,Salida en corto,2026-06-16 11:50,Scripted Exit All,7604.25,1,380812.5,600,0.16,862.5,0.23,-1025,-0.27,6100,61.00,123
34,Entrada en corto,2026-06-16 01:35,Scripted Short,7616.25,1,380812.5,600,0.16,862.5,0.23,-1025,-0.27,6100,61.00,123
35,Salida en largo,2026-06-18 09:40,Scripted Short,7544,1,379900,-2700,-0.71,312.5,0.08,-6287.5,-1.66,3400,34.00,275
35,Entrada en largo,2026-06-17 09:45,Scripted Long,7598,1,379900,-2700,-0.71,312.5,0.08,-6287.5,-1.66,3400,34.00,275
36,Salida en corto,2026-06-18 22:20,Scripted Exit All,7542.5,1,377200,75,0.02,425,0.11,-1950,-0.52,3475,34.75,140
36,Entrada en corto,2026-06-18 09:40,Scripted Short,7544,1,377200,75,0.02,425,0.11,-1950,-0.52,3475,34.75,140
37,Salida en corto,2026-06-22 11:20,Scripted Exit All,7537.75,1,377887.5,1000,0.26,1525,0.40,-2075,-0.55,4475,44.75,56
37,Entrada en corto,2026-06-22 06:40,Scripted Short,7557.75,1,377887.5,1000,0.26,1525,0.40,-2075,-0.55,4475,44.75,56
38,Salida en largo,2026-06-24 19:45,Scripted Exit All,7474.5,1,373175,550,0.15,1650,0.44,-2962.5,-0.79,5025,50.25,110
38,Entrada en largo,2026-06-24 09:35,Scripted Long,7463.5,1,373175,550,0.15,1650,0.44,-2962.5,-0.79,5025,50.25,110
39,Salida en largo,2026-06-25 19:25,Scripted Exit All,7449.5,1,371325,1150,0.31,1375,0.37,-100,-0.03,6175,61.75,4
39,Entrada en largo,2026-06-25 19:05,Scripted Long,7426.5,1,371325,1150,0.31,1375,0.37,-100,-0.03,6175,61.75,4
40,Salida en corto,2026-06-25 21:30,Scripted Exit All,7417.75,1,371525,637.5,0.17,962.5,0.26,-212.5,-0.06,6812.5,68.13,21
40,Entrada en corto,2026-06-25 19:45,Scripted Short,7430.5,1,371525,637.5,0.17,962.5,0.26,-212.5,-0.06,6812.5,68.13,21
41,Salida en largo,2026-06-29 04:25,Scripted Exit All,7459.25,1,372512.5,450,0.12,675,0.18,-175,-0.05,7262.5,72.63,11
41,Entrada en largo,2026-06-29 03:30,Scripted Long,7450.25,1,372512.5,450,0.12,675,0.18,-175,-0.05,7262.5,72.63,11
42,Salida en corto,2026-07-06 09:30,Scripted Long,7564.75,1,377812.5,-425,-0.11,225,0.06,-425,-0.11,6837.5,68.38,13
42,Entrada en corto,2026-07-06 08:25,Scripted Short,7556.25,1,377812.5,-425,-0.11,225,0.06,-425,-0.11,6837.5,68.38,13
43,Salida en largo,2026-07-06 10:50,Scripted Exit All,7576.5,1,378237.5,587.5,0.16,812.5,0.21,-612.5,-0.16,7425,74.25,16
43,Entrada en largo,2026-07-06 09:30,Scripted Long,7564.75,1,378237.5,587.5,0.16,812.5,0.21,-612.5,-0.16,7425,74.25,16
44,Salida en corto,2026-07-13 23:00,Scripted Exit All,7540.5,1,377550,525,0.14,600,0.16,-237.5,-0.06,7950,79.50,16
44,Entrada en corto,2026-07-13 21:40,Scripted Short,7551,1,377550,525,0.14,600,0.16,-237.5,-0.06,7950,79.50,16
45,Salida en largo,2026-07-14 19:55,Scripted Exit All,7603.75,1,379712.5,475,0.13,500,0.13,-562.5,-0.15,8425,84.25,42
45,Entrada en largo,2026-07-14 15:25,Scripted Long,7594.25,1,379712.5,475,0.13,500,0.13,-562.5,-0.15,8425,84.25,42
46,Salida en largo,2026-07-15 23:05,Scripted Exit All,7623,1,380912.5,237.5,0.06,262.5,0.07,-362.5,-0.10,8662.5,86.63,15
46,Entrada en largo,2026-07-15 21:50,Scripted Long,7618.25,1,380912.5,237.5,0.06,262.5,0.07,-362.5,-0.10,8662.5,86.63,15
