Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
1,Salida en corto,2026-03-06 08:45,Scripted Long,5130,1,515790,2790,0.54,9900,1.92,-3460,-0.67,2790,27.90,123
1,Entrada en corto,2026-03-05 01:00,Scripted Short,5157.9,1,515790,2790,0.54,9900,1.92,-3460,-0.67,2790,27.90,123
2,Salida en largo,2026-03-11 10:30,Scripted Exit All,5201.9,1,513000,7190,1.40,11870,2.31,-10880,-2.12,9980,99.80,283
2,Entrada en largo,2026-03-06 08:45,Scripted Long,5130,1,513000,7190,1.40,11870,2.31,-10880,-2.12,9980,99.80,283
3,Salida en corto,2026-03-13 08:00,Scripted Long,5113,1,516530,5230,1.01,10710,2.07,-490,-0.09,15210,152.10,85
3,Entrada en corto,2026-03-12 09:45,Scripted Short,5165.3,1,516530,5230,1.01,10710,2.07,-490,-0.09,15210,152.10,85
4,Salida en largo,2026-03-17 11:30,Scripted Short,4999.5,1,511300,-11350,-2.22,1550,0.30,-14290,-2.79,3860,38.60,198
4,Entrada en largo,2026-03-13 08:00,Scripted Long,5113,1,511300,-11350,-2.22,1550,0.30,-14290,-2.79,3860,38.60,198
5,Salida en corto,2026-03-18 04:15,Scripted Exit All,4997.1,1,499950,240,0.05,2250,0.45,-2250,-0.45,4100,41.00,63
5,Entrada en corto,2026-03-17 11:30,Scripted Short,4999.5,1,499950,240,0.05,2250,0.45,-2250,-0.45,4100,41.00,63
6,Salida en corto,2026-03-23 20:30,Scripted Exit All,4380,1,466830,28830,6.18,56830,12.17,-2860,-0.61,32930,329.30,146
6,Entrada en corto,2026-03-20 06:00,Scripted Short,4668.3,1,466830,28830,6.18,56830,12.17,-2860,-0.61,32930,329.30,146
7,Salida en largo,2026-03-29 21:45,Scripted Exit All,4501,1,445620,4480,1.01,9590,2.15,-1150,-0.26,37410,374.10,42
7,Entrada en largo,2026-03-27 10:15,Scripted Long,4456.2,1,445620,4480,1.01,9590,2.15,-1150,-0.26,37410,374.10,42
8,Salida en largo,2026-03-30 20:45,Scripted Exit All,4565.1,1,452330,4180,0.92,8810,1.95,-1520,-0.34,41590,415.90,84
8,Entrada en largo,2026-03-29 22:45,Scripted Long,4523.3,1,452330,4180,0.92,8810,1.95,-1520,-0.34,41590,415.90,84
9,Salida en largo,2026-04-05 21:15,Scripted Exit All,4668,1,457650,9150,2.00,24940,5.45,-1760,-0.38,50740,507.40,277
9,Entrada en largo,2026-03-30 21:00,Scripted Long,4576.5,1,457650,9150,2.00,24940,5.45,-1760,-0.38,50740,507.40,277
10,Salida en corto,2026-04-09 06:30,Scripted Long,4763.2,1,466060,-10260,-2.20,2870,0.62,-22740,-4.88,40480,404.80,181
10,Entrada en corto,2026-04-07 07:15,Scripted Short,4660.6,1,466060,-10260,-2.20,2870,0.62,-22740,-4.88,40480,404.80,181
11,Salida en largo,2026-04-09 20:15,Scripted Short,4777.6,1,476320,1440,0.30,6280,1.32,-360,-0.08,41920,419.20,51
11,Entrada en largo,2026-04-09 06:30,Scripted Long,4763.2,1,476320,1440,0.30,6280,1.32,-360,-0.08,41920,419.20,51
12,Salida en corto,2026-04-13 13:30,Scripted Long,4766.5,1,477760,1110,0.23,15160,3.17,-4240,-0.89,43030,430.30,161
12,Entrada en corto,2026-04-09 20:15,Scripted Short,4777.6,1,477760,1110,0.23,15160,3.17,-4240,-0.89,43030,430.30,161
13,Salida en largo,2026-04-15 19:15,Scripted Exit All,4834.1,1,476650,6760,1.42,12890,2.70,-2040,-0.43,49790,497.90,203
13,Entrada en largo,2026-04-13 13:30,Scripted Long,4766.5,1,476650,6760,1.42,12890,2.70,-2040,-0.43,49790,497.90,203
14,Salida en largo,2026-04-16 10:00,Scripted Short,4815.8,1,483630,-2050,-0.42,2500,0.52,-3100,-0.64,47740,477.40,58
14,Entrada en largo,2026-04-15 19:30,Scripted Long,4836.3,1,483630,-2050,-0.42,2500,0.52,-3100,-0.64,47740,477.40,58
15,Salida en corto,2026-04-17 02:30,Scripted Exit All,4804.8,1,481580,1100,0.23,2990,0.62,-1890,-0.39,48840,488.40,62
15,Entrada en corto,2026-04-16 10:00,Scripted Short,4815.8,1,481580,1100,0.23,2990,0.62,-1890,-0.39,48840,488.40,62
16,Salida en corto,2026-04-22 22:15,Scripted Exit All,4723,1,483010,10710,2.22,14430,2.99,-10,0.00,59550,595.50,185
16,Entrada en corto,2026-04-20 22:00,Scripted Short,4830.1,1,483010,10710,2.22,14430,2.99,-10,0.00,59550,595.50,185
17,Salida en corto,2026-04-26 22:45,Scripted Long,4728.5,1,471720,-1130,-0.24,4500,0.95,-4450,-0.94,58420,584.20,184
17,Entrada en corto,2026-04-22 22:45,Scripted Short,4717.2,1,471720,-1130,-0.24,4500,0.95,-4450,-0.94,58420,584.20,184
18,Salida en largo,2026-05-04 11:30,Scripted Short,4548.7,1,472850,-17980,-3.80,1730,0.37,-20630,-4.36,40440,404.40,511
18,Entrada en largo,2026-04-26 22:45,Scripted Long,4728.5,1,472850,-17980,-3.80,1730,0.37,-20630,-4.36,40440,404.40,511
19,Salida en corto,2026-05-05 00:30,Scripted Exit All,4538.8,1,454870,990,0.22,3860,0.85,-770,-0.17,41430,414.30,48
19,Entrada en corto,2026-05-04 11:30,Scripted Short,4548.7,1,454870,990,0.22,3860,0.85,-770,-0.17,41430,414.30,48
20,Salida en largo,2026-05-08 08:45,Scripted Exit All,4733.6,1,456360,17000,3.73,21160,4.64,-1360,-0.30,58430,584.30,298
20,Entrada en largo,2026-05-05 03:15,Scripted Long,4563.6,1,456360,17000,3.73,21160,4.64,-1360,-0.30,58430,584.30,298
21,Salida en corto,2026-05-13 12:15,Scripted Long,4709.6,1,472250,1290,0.27,7730,1.64,-1230,-0.26,59720,597.20,137
21,Entrada en corto,2026-05-12 01:00,Scripted Short,4722.5,1,472250,1290,0.27,7730,1.64,-1230,-0.26,59720,597.20,137
22,Salida en largo,2026-05-20 10:15,Scripted Short,4479.4,1,470960,-23020,-4.89,1620,0.34,-25460,-5.41,36700,367.00,452
22,Entrada en largo,2026-05-13 12:15,Scripted Long,4709.6,1,470960,-23020,-4.89,1620,0.34,-25460,-5.41,36700,367.00,452
23,Salida en corto,2026-05-20 10:30,Scripted Long,4509.9,1,447940,-3050,-0.68,50,0.01,-3470,-0.77,33650,336.50,1
23,Entrada en corto,2026-05-20 10:15,Scripted Short,4479.4,1,447940,-3050,-0.68,50,0.01,-3470,-0.77,33650,336.50,1
24,Salida en largo,2026-05-22 02:00,Scripted Short,4511.9,1,450990,200,0.04,6250,1.39,-2160,-0.48,33850,338.50,150
24,Entrada en largo,2026-05-20 10:30,Scripted Long,4509.9,1,450990,200,0.04,6250,1.39,-2160,-0.48,33850,338.50,150
25,Salida en corto,2026-05-22 06:00,Scripted Long,4532.9,1,451190,-2100,-0.47,80,0.02,-2480,-0.55,31750,317.50,16
25,Entrada en corto,2026-05-22 02:00,Scripted Short,4511.9,1,451190,-2100,-0.47,80,0.02,-2480,-0.55,31750,317.50,16
26,Salida en largo,2026-05-22 10:00,Scripted Short,4514.5,1,453290,-1840,-0.41,470,0.10,-2290,-0.51,29910,299.10,16
26,Entrada en largo,2026-05-22 06:00,Scripted Long,4532.9,1,453290,-1840,-0.41,470,0.10,-2290,-0.51,29910,299.10,16
27,Salida en corto,2026-05-26 19:45,Scripted Long,4526.8,1,451450,-1230,-0.27,3450,0.76,-6880,-1.52,28680,286.80,209
27,Entrada en corto,2026-05-22 10:00,Scripted Short,4514.5,1,451450,-1230,-0.27,3450,0.76,-6880,-1.52,28680,286.80,209
28,Salida en largo,2026-05-27 00:00,Scripted Short,4496,1,452680,-3080,-0.68,130,0.03,-3100,-0.68,25600,256.00,17
28,Entrada en largo,2026-05-26 19:45,Scripted Long,4526.8,1,452680,-3080,-0.68,130,0.03,-3100,-0.68,25600,256.00,17
29,Salida en corto,2026-05-27 21:30,Scripted Exit All,4449.5,1,449600,4650,1.03,9750,2.17,-2020,-0.45,30250,302.50,82
29,Entrada en corto,2026-05-27 00:00,Scripted Short,4496,1,449600,4650,1.03,9750,2.17,-2020,-0.45,30250,302.50,82
30,Salida en corto,2026-05-29 10:15,Scripted Long,4575.1,1,444160,-13350,-3.01,4600,1.04,-14240,-3.21,16900,169.00,141
30,Entrada en corto,2026-05-27 22:00,Scripted Short,4441.6,1,444160,-13350,-3.01,4600,1.04,-14240,-3.21,16900,169.00,141
31,Salida en largo,2026-06-05 08:45,Scripted Short,4472.1,1,457510,-10300,-2.25,5200,1.14,-12500,-2.73,6600,66.00,454
31,Entrada en largo,2026-05-29 10:15,Scripted Long,4575.1,1,457510,-10300,-2.25,5200,1.14,-12500,-2.73,6600,66.00,454
32,Salida en corto,2026-06-09 01:45,Scripted Long,4373.2,1,447210,9890,2.21,17910,4.00,-360,-0.08,16490,164.90,156
32,Entrada en corto,2026-06-05 08:45,Scripted Short,4472.1,1,447210,9890,2.21,17910,4.00,-360,-0.08,16490,164.90,156
33,Salida en largo,2026-06-15 13:45,Scripted Short,4343.6,1,437320,-2960,-0.68,1830,0.42,-32700,-7.48,13530,135.30,416
33,Entrada en largo,2026-06-09 01:45,Scripted Long,4373.2,1,437320,-2960,-0.68,1830,0.42,-32700,-7.48,13530,135.30,416
34,Salida en corto,2026-06-16 01:45,Scripted Exit All,4338.8,1,434360,480,0.11,1690,0.39,-1050,-0.24,14010,140.10,44
34,Entrada en corto,2026-06-15 13:45,Scripted Short,4343.6,1,434360,480,0.11,1690,0.39,-1050,-0.24,14010,140.10,44
35,Salida en largo,2026-06-16 10:30,Scripted Short,4340.7,1,435640,-1570,-0.36,2010,0.46,-1820,-0.42,12440,124.40,26
35,Entrada en largo,2026-06-16 04:00,Scripted Long,4356.4,1,435640,-1570,-0.36,2010,0.46,-1820,-0.42,12440,124.40,26
36,Salida en corto,2026-06-16 21:15,Scripted Long,4367.9,1,434070,-2720,-0.63,700,0.16,-2910,-0.67,9720,97.20,39
36,Entrada en corto,2026-06-16 10:30,Scripted Short,4340.7,1,434070,-2720,-0.63,700,0.16,-2910,-0.67,9720,97.20,39
37,Salida en largo,2026-06-23 18:30,Scripted Short,4123.3,1,436790,-24460,-5.60,3570,0.82,-25970,-5.95,-14740,-147.40,433
37,Entrada en largo,2026-06-16 21:15,Scripted Long,4367.9,1,436790,-24460,-5.60,3570,0.82,-25970,-5.95,-14740,-147.40,433
