Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
1,Salida en corto,2026-03-19 04:00,Scripted Exit All,24557.25,1,492880,1735,0.35,2010,0.41,-85,-0.02,1735,17.35,15
1,Entrada en corto,2026-03-19 00:15,Scripted Short,24644,1,492880,1735,0.35,2010,0.41,-85,-0.02,1735,17.35,15
2,Salida en corto,2026-03-20 10:15,Scripted Exit All,24255.25,1,490000,4895,1.00,5190,1.06,-550,-0.11,6630,66.30,19
2,Entrada en corto,2026-03-20 05:30,Scripted Short,24500,1,490000,4895,1.00,5190,1.06,-550,-0.11,6630,66.30,19
3,Salida en corto,2026-03-26 05:15,Scripted Exit All,24170,1,483735,335,0.07,685,0.14,-7265,-1.50,6965,69.65,152
3,Entrada en corto,2026-03-24 13:15,Scripted Short,24186.75,1,483735,335,0.07,685,0.14,-7265,-1.50,6965,69.65,152
4,Salida en corto,2026-03-26 13:30,Scripted Exit All,23954.5,1,481875,2785,0.58,3220,0.67,-670,-0.14,9750,97.50,9
4,Entrada en corto,2026-03-26 11:15,Scripted Short,24093.75,1,481875,2785,0.58,3220,0.67,-670,-0.14,9750,97.50,9
5,Salida en largo,2026-04-07 07:00,Scripted Short,24205.5,1,486305,-2195,-0.45,2135,0.44,-2600,-0.53,7555,75.55,11
5,Entrada en largo,2026-04-07 04:15,Scripted Long,24315.25,1,486305,-2195,-0.45,2135,0.44,-2600,-0.53,7555,75.55,11
6,Salida en corto,2026-04-14 02:45,Scripted Long,25586.5,1,484110,-27620,-5.71,5280,1.09,-28275,-5.84,-20065,-200.65,443
6,Entrada en corto,2026-04-07 07:00,Scripted Short,24205.5,1,484110,-27620,-5.71,5280,1.09,-28275,-5.84,-20065,-200.65,443
7,Salida en largo,2026-04-14 03:45,Scripted Exit All,25619,1,511730,650,0.13,1140,0.22,-215,-0.04,-19415,-194.15,4
7,Entrada en largo,2026-04-14 02:45,Scripted Long,25586.5,1,511730,650,0.13,1140,0.22,-215,-0.04,-19415,-194.15,4
8,Salida en largo,2026-04-15 11:00,Scripted Exit All,26163,1,520090,3170,0.61,3435,0.66,-1415,-0.27,-16245,-162.45,28
8,Entrada en largo,2026-04-15 04:00,Scripted Long,26004.5,1,520090,3170,0.61,3435,0.66,-1415,-0.27,-16245,-162.45,28
9,Salida en corto,2026-04-23 08:00,Scripted Long,27032.5,1,529140,-11510,-2.18,275,0.05,-13580,-2.57,-27755,-277.55,395
9,Entrada en corto,2026-04-17 01:15,Scripted Short,26457,1,529140,-11510,-2.18,275,0.05,-13580,-2.57,-27755,-277.55,395
10,Salida en largo,2026-04-23 13:15,Scripted Short,26947,1,540650,-1710,-0.32,2465,0.46,-2195,-0.41,-29465,-294.65,21
10,Entrada en largo,2026-04-23 08:00,Scripted Long,27032.5,1,540650,-1710,-0.32,2465,0.46,-2195,-0.41,-29465,-294.65,21
11,Salida en corto,2026-04-23 20:00,Scripted Long,27081,1,538940,-2680,-0.50,5305,0.98,-2680,-0.50,-32145,-321.45,23
11,Entrada en corto,2026-04-23 13:15,Scripted Short,26947,1,538940,-2680,-0.50,5305,0.98,-2680,-0.50,-32145,-321.45,23
12,Salida en largo,2026-04-24 06:45,Scripted Exit All,27179,1,541620,1960,0.36,2235,0.41,-1295,-0.24,-30185,-301.85,43
12,Entrada en largo,2026-04-23 20:00,Scripted Long,27081,1,541620,1960,0.36,2235,0.41,-1295,-0.24,-30185,-301.85,43
13,Salida en largo,2026-04-30 22:15,Scripted Exit All,27644.25,1,548895,3990,0.73,4270,0.78,-8705,-1.59,-26195,-261.95,297
13,Entrada en largo,2026-04-27 16:00,Scripted Long,27444.75,1,548895,3990,0.73,4270,0.78,-8705,-1.59,-26195,-261.95,297
14,Salida en largo,2026-05-01 10:00,Scripted Exit All,27873.5,1,551990,5480,0.99,5525,1.00,-675,-0.12,-20715,-207.15,7
14,Entrada en largo,2026-05-01 08:15,Scripted Long,27599.5,1,551990,5480,0.99,5525,1.00,-675,-0.12,-20715,-207.15,7
15,Salida en largo,2026-05-20 05:00,Scripted Exit All,29095.75,1,579780,2135,0.37,2955,0.51,-3835,-0.66,-18580,-185.80,61
15,Entrada en largo,2026-05-19 12:45,Scripted Long,28989,1,579780,2135,0.37,2955,0.51,-3835,-0.66,-18580,-185.80,61
16,Salida en largo,2026-05-31 21:45,Scripted Exit All,30539.25,1,609075,1710,0.28,2020,0.33,-70,-0.01,-16870,-168.70,12
16,Entrada en largo,2026-05-31 18:45,Scripted Long,30453.75,1,609075,1710,0.28,2020,0.33,-70,-0.01,-16870,-168.70,12
17,Salida en largo,2026-06-01 14:30,Scripted Exit All,30646.5,1,609585,3345,0.55,4275,0.70,-585,-0.10,-13525,-135.25,12
17,Entrada en largo,2026-06-01 11:30,Scripted Long,30479.25,1,609585,3345,0.55,4275,0.70,-585,-0.10,-13525,-135.25,12
18,Salida en largo,2026-06-09 07:45,Scripted Exit All,29717.5,1,591690,2660,0.45,2860,0.48,-390,-0.07,-10865,-108.65,32
18,Entrada en largo,2026-06-08 23:45,Scripted Long,29584.5,1,591690,2660,0.45,2860,0.48,-390,-0.07,-10865,-108.65,32
19,Salida en corto,2026-06-10 06:30,Scripted Exit All,28765.75,1,577550,2235,0.39,3870,0.67,-2730,-0.47,-8630,-86.30,23
19,Entrada en corto,2026-06-10 00:45,Scripted Short,28877.5,1,577550,2235,0.39,3870,0.67,-2730,-0.47,-8630,-86.30,23
20,Salida en largo,2026-06-11 15:15,Scripted Exit All,29360.5,1,578390,8820,1.52,9095,1.57,-13075,-2.26,190,1.90,118
20,Entrada en largo,2026-06-10 08:45,Scripted Long,28919.5,1,578390,8820,1.52,9095,1.57,-13075,-2.26,190,1.90,118
21,Salida en largo,2026-06-16 04:45,Scripted Exit All,30887.25,1,616265,1480,0.24,1860,0.30,-380,-0.06,1670,16.70,21
21,Entrada en largo,2026-06-15 23:30,Scripted Long,30813.25,1,616265,1480,0.24,1860,0.30,-380,-0.06,1670,16.70,21
22,Salida en largo,2026-06-18 09:30,Scripted Exit All,30594.5,1,608390,3500,0.58,4005,0.66,-1290,-0.21,5170,51.70,26
22,Entrada en largo,2026-06-18 03:00,Scripted Long,30419.5,1,608390,3500,0.58,4005,0.66,-1290,-0.21,5170,51.70,26
23,Salida en largo,2026-06-25 01:45,Scripted Exit All,30105.5,1,597825,4285,0.72,5545,0.93,-12530,-2.10,9455,94.55,55
23,Entrada en largo,2026-06-24 11:00,Scripted Long,29891.25,1,597825,4285,0.72,5545,0.93,-12530,-2.10,9455,94.55,55
24,Salida en largo,2026-06-29 16:00,Scripted Exit All,30046.75,1,591765,9170,1.55,9625,1.63,-6665,-1.13,18625,186.25,115
24,Entrada en largo,2026-06-26 10:15,Scripted Long,29588.25,1,591765,9170,1.55,9625,1.63,-6665,-1.13,18625,186.25,115
25,Salida en largo,2026-07-07 15:00,Scripted Short,29390.25,1,609345,-21540,-3.53,145,0.02,-25145,-4.13,-2915,-29.15,412
25,Entrada en largo,2026-07-01 00:00,Scripted Long,30467.25,1,609345,-21540,-3.53,145,0.02,-25145,-4.13,-2915,-29.15,412
26,Salida en corto,2026-07-08 05:00,Scripted Exit All,29010.75,1,587805,7590,1.29,8660,1.47,-3370,-0.57,4675,46.75,52
26,Entrada en corto,2026-07-07 15:00,Scripted Short,29390.25,1,587805,7590,1.29,8660,1.47,-3370,-0.57,4675,46.75,52
