Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
1,Salida en corto,2025-08-18 02:30,Scripted Long,45000,1,223445,-1555,-0.70,85,0.04,-3410,-1.53,-1555,-15.55
1,Entrada en corto,2025-08-13 06:00,Scripted Short,44689,1,223445,-1555,-0.70,85,0.04,-3410,-1.53,-1555,-15.55
2,Salida en largo,2025-08-18 10:15,Scripted Exit All,45027,1,225000,135,0.06,395,0.18,-515,-0.23,-1420,-14.20
2,Entrada en largo,2025-08-18 02:30,Scripted Long,45000,1,225000,135,0.06,395,0.18,-515,-0.23,-1420,-14.20
3,Salida en largo,2025-08-26 01:15,Scripted Exit All,45323,1,226190,425,0.19,515,0.23,-180,-0.08,-995,-9.95
3,Entrada en largo,2025-08-25 20:45,Scripted Long,45238,1,226190,425,0.19,515,0.23,-180,-0.08,-995,-9.95
4,Salida en corto,2025-08-28 06:15,Scripted Exit All,45715,1,228915,340,0.15,365,0.16,-90,-0.04,-655,-6.55
4,Entrada en corto,2025-08-28 03:30,Scripted Short,45783,1,228915,340,0.15,365,0.16,-90,-0.04,-655,-6.55
5,Salida en corto,2025-09-18 08:45,Scripted Exit All,46543,1,233205,490,0.21,520,0.22,-405,-0.17,-165,-1.65
5,Entrada en corto,2025-09-18 04:45,Scripted Short,46641,1,233205,490,0.21,520,0.22,-405,-0.17,-165,-1.65
6,Salida en corto,2025-09-25 03:15,Scripted Long,46390,1,234705,2755,1.17,2785,1.19,-570,-0.24,2590,25.90
6,Entrada en corto,2025-09-23 09:45,Scripted Short,46941,1,234705,2755,1.17,2785,1.19,-570,-0.24,2590,25.90
7,Salida en largo,2025-09-25 04:15,Scripted Exit All,46478,1,231950,440,0.19,450,0.19,0,0.00,3030,30.30
7,Entrada en largo,2025-09-25 03:15,Scripted Long,46390,1,231950,440,0.19,450,0.19,0,0.00,3030,30.30
8,Salida en corto,2025-09-29 07:15,Scripted Exit All,46711,1,233920,365,0.16,365,0.16,0,0.00,3395,33.95
8,Entrada en corto,2025-09-29 06:30,Scripted Short,46784,1,233920,365,0.16,365,0.16,0,0.00,3395,33.95
9,Salida en largo,2025-10-02 09:30,Scripted Exit All,46721,1,232485,1120,0.48,1600,0.69,-810,-0.35,4515,45.15
9,Entrada en largo,2025-09-30 23:15,Scripted Long,46497,1,232485,1120,0.48,1600,0.69,-810,-0.35,4515,45.15
10,Salida en corto,2025-10-08 23:45,Scripted Long,46797,1,234125,140,0.06,660,0.28,-2490,-1.06,4655,46.55
10,Entrada en corto,2025-10-02 14:15,Scripted Short,46825,1,234125,140,0.06,660,0.28,-2490,-1.06,4655,46.55
11,Salida en largo,2025-10-09 01:30,Scripted Exit All,46865,1,233985,340,0.15,375,0.16,-30,-0.01,4995,49.95
11,Entrada en largo,2025-10-08 23:45,Scripted Long,46797,1,233985,340,0.15,375,0.16,-30,-0.01,4995,49.95
12,Salida en largo,2025-10-20 09:45,Scripted Short,46623,1,228685,4430,1.94,4585,2.00,-660,-0.29,9425,94.25
12,Entrada en largo,2025-10-17 03:15,Scripted Long,45737,1,228685,4430,1.94,4585,2.00,-660,-0.29,9425,94.25
13,Salida en corto,2025-10-29 05:00,Scripted Long,47777,1,233115,-5770,-2.48,330,0.14,-7475,-3.21,3655,36.55
13,Entrada en corto,2025-10-20 09:45,Scripted Short,46623,1,233115,-5770,-2.48,330,0.14,-7475,-3.21,3655,36.55
14,Salida en largo,2025-10-29 20:30,Scripted Exit All,47837,1,238885,300,0.13,2185,0.91,-805,-0.34,3955,39.55
14,Entrada en largo,2025-10-29 05:00,Scripted Long,47777,1,238885,300,0.13,2185,0.91,-805,-0.34,3955,39.55
15,Salida en largo,2025-11-03 04:15,Scripted Exit All,47775,1,238745,130,0.05,600,0.25,-1305,-0.55,4085,40.85
15,Entrada en largo,2025-10-30 15:30,Scripted Long,47749,1,238745,130,0.05,600,0.25,-1305,-0.55,4085,40.85
16,Salida en largo,2025-11-10 13:00,Scripted Exit All,47325,1,234545,2080,0.89,2560,1.09,-1675,-0.71,6165,61.65
16,Entrada en largo,2025-11-07 06:15,Scripted Long,46909,1,234545,2080,0.89,2560,1.09,-1675,-0.71,6165,61.65
17,Salida en corto,2025-11-14 06:45,Scripted Long,47306,1,237905,1375,0.58,1405,0.59,-4735,-1.99,7540,75.40
17,Entrada en corto,2025-11-11 10:00,Scripted Short,47581,1,237905,1375,0.58,1405,0.59,-4735,-1.99,7540,75.40
18,Salida en largo,2025-11-26 09:45,Scripted Short,47438,1,236530,660,0.28,785,0.33,-7635,-3.23,8200,82.00
