Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
1,Salida en corto,2026-03-17 01:45,Scripted Exit All,0.006323,1,79168.75,131.25,0.17,181.25,0.23,-106.25,-0.13,131.25,1.31
1,Entrada en corto,2026-03-16 14:20,Scripted Short,0.0063335,1,79168.75,131.25,0.17,181.25,0.23,-106.25,-0.13,131.25,1.31
2,Salida en corto,2026-03-18 20:55,Scripted Exit All,0.0063035,1,79068.75,275,0.35,331.25,0.42,-337.5,-0.43,406.25,4.06
2,Entrada en corto,2026-03-17 03:25,Scripted Short,0.0063255,1,79068.75,275,0.35,331.25,0.42,-337.5,-0.43,406.25,4.06
3,Salida en corto,2026-03-20 04:35,Scripted Exit All,0.00636,1,79543.75,43.75,0.06,50,0.06,-18.75,-0.02,450,4.50
3,Entrada en corto,2026-03-20 04:00,Scripted Short,0.0063635,1,79543.75,43.75,0.06,50,0.06,-18.75,-0.02,450,4.50
4,Salida en largo,2026-03-22 19:05,Scripted Short,0.006328,1,79306.25,-206.25,-0.26,12.5,0.02,-356.25,-0.45,243.75,2.44
4,Entrada en largo,2026-03-20 09:10,Scripted Long,0.0063445,1,79306.25,-206.25,-0.26,12.5,0.02,-356.25,-0.45,243.75,2.44
5,Salida en corto,2026-03-22 20:35,Scripted Long,0.006322,1,79100,75,0.09,81.25,0.10,-87.5,-0.11,318.75,3.19
5,Entrada en corto,2026-03-22 19:05,Scripted Short,0.006328,1,79100,75,0.09,81.25,0.10,-87.5,-0.11,318.75,3.19
6,Salida en largo,2026-03-23 03:05,Scripted Short,0.0063175,1,79025,-56.25,-0.07,6.25,0.01,-168.75,-0.21,262.5,2.63
6,Entrada en largo,2026-03-22 20:35,Scripted Long,0.006322,1,79025,-56.25,-0.07,6.25,0.01,-168.75,-0.21,262.5,2.63
7,Salida en corto,2026-03-23 05:35,Scripted Exit All,0.0063135,1,78968.75,50,0.06,100,0.13,-62.5,-0.08,312.5,3.13
7,Entrada en corto,2026-03-23 03:05,Scripted Short,0.0063175,1,78968.75,50,0.06,100,0.13,-62.5,-0.08,312.5,3.13
8,Salida en corto,2026-03-23 19:50,Scripted Exit All,0.006356,1,79512.5,62.5,0.08,81.25,0.10,-168.75,-0.21,375,3.75
8,Entrada en corto,2026-03-23 14:15,Scripted Short,0.006361,1,79512.5,62.5,0.08,81.25,0.10,-168.75,-0.21,375,3.75
9,Salida en corto,2026-03-24 02:20,Scripted Exit All,0.0063465,1,79381.25,50,0.06,50,0.06,-18.75,-0.02,425,4.25
9,Entrada en corto,2026-03-24 01:45,Scripted Short,0.0063505,1,79381.25,50,0.06,50,0.06,-18.75,-0.02,425,4.25
10,Salida en corto,2026-03-24 16:00,Scripted Exit All,0.006335,1,79312.5,125,0.16,237.5,0.30,-81.25,-0.10,550,5.50
10,Entrada en corto,2026-03-24 10:15,Scripted Short,0.006345,1,79312.5,125,0.16,237.5,0.30,-81.25,-0.10,550,5.50
11,Salida en corto,2026-03-24 19:05,Scripted Exit All,0.006344,1,79406.25,106.25,0.13,125,0.16,-81.25,-0.10,656.25,6.56
11,Entrada en corto,2026-03-24 16:25,Scripted Short,0.0063525,1,79406.25,106.25,0.13,125,0.16,-81.25,-0.10,656.25,6.56
12,Salida en corto,2026-03-25 20:20,Scripted Exit All,0.006315,1,79193.75,256.25,0.32,281.25,0.36,-112.5,-0.14,912.5,9.13
12,Entrada en corto,2026-03-25 04:15,Scripted Short,0.0063355,1,79193.75,256.25,0.32,281.25,0.36,-112.5,-0.14,912.5,9.13
13,Salida en corto,2026-03-25 23:45,Scripted Exit All,0.0063135,1,78937.5,18.75,0.02,25,0.03,0,0.00,931.25,9.31
13,Entrada en corto,2026-03-25 23:35,Scripted Short,0.006315,1,78937.5,18.75,0.02,25,0.03,0,0.00,931.25,9.31
14,Salida en corto,2026-03-26 11:20,Scripted Exit All,0.006308,1,78962.5,112.5,0.14,168.75,0.21,-37.5,-0.05,1043.75,10.44
14,Entrada en corto,2026-03-26 02:50,Scripted Short,0.006317,1,78962.5,112.5,0.14,168.75,0.21,-37.5,-0.05,1043.75,10.44
15,Salida en corto,2026-03-27 10:30,Scripted Exit All,0.006296,1,78731.25,31.25,0.04,62.5,0.08,-18.75,-0.02,1075,10.75
15,Entrada en corto,2026-03-27 08:45,Scripted Short,0.0062985,1,78731.25,31.25,0.04,62.5,0.08,-18.75,-0.02,1075,10.75
16,Salida en corto,2026-03-27 11:50,Scripted Exit All,0.006298,1,78768.75,43.75,0.06,50,0.06,-12.5,-0.02,1118.75,11.19
16,Entrada en corto,2026-03-27 11:35,Scripted Short,0.0063015,1,78768.75,43.75,0.06,50,0.06,-12.5,-0.02,1118.75,11.19
17,Salida en corto,2026-03-27 16:30,Scripted Exit All,0.006282,1,78575,50,0.06,56.25,0.07,0,0.00,1168.75,11.69
17,Entrada en corto,2026-03-27 16:05,Scripted Short,0.006286,1,78575,50,0.06,56.25,0.07,0,0.00,1168.75,11.69
18,Salida en corto,2026-03-31 20:55,Scripted Long,0.006336,1,78525,-675,-0.86,12.5,0.02,-862.5,-1.10,493.75,4.94
18,Entrada en corto,2026-03-29 20:00,Scripted Short,0.006282,1,78525,-675,-0.86,12.5,0.02,-862.5,-1.10,493.75,4.94
19,Salida en largo,2026-03-31 22:55,Scripted Exit All,0.0063405,1,79200,56.25,0.07,75,0.09,-93.75,-0.12,550,5.50
19,Entrada en largo,2026-03-31 20:55,Scripted Long,0.006336,1,79200,56.25,0.07,75,0.09,-93.75,-0.12,550,5.50
20,Salida en corto,2026-04-01 04:00,Scripted Long,0.006337,1,79250,37.5,0.05,37.5,0.05,-225,-0.28,587.5,5.88
20,Entrada en corto,2026-04-01 01:45,Scripted Short,0.00634,1,79250,37.5,0.05,37.5,0.05,-225,-0.28,587.5,5.88
21,Salida en largo,2026-04-01 04:35,Scripted Exit All,0.0063475,1,79212.5,131.25,0.17,137.5,0.17,-37.5,-0.05,718.75,7.19
21,Entrada en largo,2026-04-01 04:00,Scripted Long,0.006337,1,79212.5,131.25,0.17,137.5,0.17,-37.5,-0.05,718.75,7.19
22,Salida en largo,2026-04-01 11:05,Scripted Short,0.006351,1,79312.5,75,0.09,87.5,0.11,-143.75,-0.18,793.75,7.94
22,Entrada en largo,2026-04-01 09:05,Scripted Long,0.006345,1,79312.5,75,0.09,87.5,0.11,-143.75,-0.18,793.75,7.94
23,Salida en corto,2026-04-01 11:30,Scripted Exit All,0.0063435,1,79387.5,93.75,0.12,100,0.13,-6.25,-0.01,887.5,8.88
23,Entrada en corto,2026-04-01 11:05,Scripted Short,0.006351,1,79387.5,93.75,0.12,100,0.13,-6.25,-0.01,887.5,8.88
24,Salida en corto,2026-04-03 01:00,Scripted Exit All,0.0063025,1,79250,468.75,0.59,531.25,0.67,-68.75,-0.09,1356.25,13.56
24,Entrada en corto,2026-04-01 18:30,Scripted Short,0.00634,1,79250,468.75,0.59,531.25,0.67,-68.75,-0.09,1356.25,13.56
25,Salida en corto,2026-04-03 05:15,Scripted Exit All,0.006303,1,78800,12.5,0.02,50,0.06,-18.75,-0.02,1368.75,13.69
25,Entrada en corto,2026-04-03 03:25,Scripted Short,0.006304,1,78800,12.5,0.02,50,0.06,-18.75,-0.02,1368.75,13.69
26,Salida en corto,2026-04-06 15:15,Scripted Exit All,0.006299,1,78818.75,81.25,0.10,193.75,0.25,-112.5,-0.14,1450,14.50
26,Entrada en corto,2026-04-03 07:55,Scripted Short,0.0063055,1,78818.75,81.25,0.10,193.75,0.25,-112.5,-0.14,1450,14.50
