Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
1,Salida en corto,2026-03-24 13:20,Scripted Exit All,6603,1,331087.5,937.5,0.28,1075,0.32,-812.5,-0.25,937.5,9.38,15
1,Entrada en corto,2026-03-24 12:05,Scripted Short,6621.75,1,331087.5,937.5,0.28,1075,0.32,-812.5,-0.25,937.5,9.38,15
2,Salida en corto,2026-03-25 18:05,Scripted Exit All,6636.25,1,332837.5,1025,0.31,2012.5,0.60,-1400,-0.42,1962.5,19.63,146
2,Entrada en corto,2026-03-25 04:55,Scripted Short,6656.75,1,332837.5,1025,0.31,2012.5,0.60,-1400,-0.42,1962.5,19.63,146
3,Salida en corto,2026-03-26 02:00,Scripted Exit All,6613,1,331325,675,0.20,725,0.22,-200,-0.06,2637.5,26.38,12
3,Entrada en corto,2026-03-26 01:00,Scripted Short,6626.5,1,331325,675,0.20,725,0.22,-200,-0.06,2637.5,26.38,12
4,Salida en corto,2026-03-26 12:25,Scripted Exit All,6575.75,1,329962.5,1175,0.36,1450,0.44,-262.5,-0.08,3812.5,38.13,20
4,Entrada en corto,2026-03-26 10:45,Scripted Short,6599.25,1,329962.5,1175,0.36,1450,0.44,-262.5,-0.08,3812.5,38.13,20
5,Salida en largo,2026-03-27 01:10,Scripted Exit All,6560.75,1,327387.5,650,0.20,700,0.21,-475,-0.15,4462.5,44.63,44
5,Entrada en largo,2026-03-26 21:30,Scripted Long,6547.75,1,327387.5,650,0.20,700,0.21,-475,-0.15,4462.5,44.63,44
6,Salida en largo,2026-03-31 13:00,Scripted Exit All,6534.75,1,326337.5,400,0.12,1837.5,0.56,-8675,-2.66,4862.5,48.63,642
6,Entrada en largo,2026-03-27 05:30,Scripted Long,6526.75,1,326337.5,400,0.12,1837.5,0.56,-8675,-2.66,4862.5,48.63,642
7,Salida en largo,2026-04-01 01:20,Scripted Exit All,6592.75,1,329200,437.5,0.13,475,0.14,-75,-0.02,5300,53.00,11
7,Entrada en largo,2026-04-01 00:25,Scripted Long,6584,1,329200,437.5,0.13,475,0.14,-75,-0.02,5300,53.00,11
8,Salida en corto,2026-04-01 14:15,Scripted Exit All,6626.5,1,332000,675,0.20,787.5,0.24,-687.5,-0.21,5975,59.75,21
8,Entrada en corto,2026-04-01 12:30,Scripted Short,6640,1,332000,675,0.20,787.5,0.24,-687.5,-0.21,5975,59.75,21
9,Salida en largo,2026-04-01 21:00,Scripted Exit All,6630.5,1,330962.5,562.5,0.17,775,0.23,-600,-0.18,6537.5,65.38,58
9,Entrada en largo,2026-04-01 15:10,Scripted Long,6619.25,1,330962.5,562.5,0.17,775,0.23,-600,-0.18,6537.5,65.38,58
10,Salida en corto,2026-04-02 06:20,Scripted Exit All,6530,1,327037.5,537.5,0.16,625,0.19,-337.5,-0.10,7075,70.75,14
10,Entrada en corto,2026-04-02 05:10,Scripted Short,6540.75,1,327037.5,537.5,0.16,625,0.19,-337.5,-0.10,7075,70.75,14
11,Salida en largo,2026-04-02 10:00,Scripted Exit All,6560.25,1,326775,1237.5,0.38,1375,0.42,-1587.5,-0.49,8312.5,83.13,39
11,Entrada en largo,2026-04-02 06:45,Scripted Long,6535.5,1,326775,1237.5,0.38,1375,0.42,-1587.5,-0.49,8312.5,83.13,39
12,Salida en corto,2026-04-05 23:20,Scripted Exit All,6599.25,1,331162.5,1200,0.36,1400,0.42,-62.5,-0.02,9512.5,95.13,7
12,Entrada en corto,2026-04-05 22:45,Scripted Short,6623.25,1,331162.5,1200,0.36,1400,0.42,-62.5,-0.02,9512.5,95.13,7
13,Salida en largo,2026-04-06 12:40,Scripted Exit All,6644.75,1,331562.5,675,0.20,1487.5,0.45,-675,-0.20,10187.5,101.88,49
13,Entrada en largo,2026-04-06 08:35,Scripted Long,6631.25,1,331562.5,675,0.20,1487.5,0.45,-675,-0.20,10187.5,101.88,49
14,Salida en largo,2026-04-06 15:50,Scripted Exit All,6651,1,331875,675,0.20,700,0.21,-37.5,-0.01,10862.5,108.63,19
14,Entrada en largo,2026-04-06 14:15,Scripted Long,6637.5,1,331875,675,0.20,700,0.21,-37.5,-0.01,10862.5,108.63,19
15,Salida en corto,2026-04-06 21:50,Scripted Exit All,6624.25,1,332262.5,1050,0.32,1062.5,0.32,-475,-0.14,11912.5,119.12,41
15,Entrada en corto,2026-04-06 18:25,Scripted Short,6645.25,1,332262.5,1050,0.32,1062.5,0.32,-475,-0.14,11912.5,119.12,41
16,Salida en largo,2026-04-07 14:40,Scripted Short,6622.5,1,331162.5,-37.5,-0.01,1162.5,0.35,-2525,-0.76,11875,118.75,75
16,Entrada en largo,2026-04-07 08:25,Scripted Long,6623.25,1,331162.5,-37.5,-0.01,1162.5,0.35,-2525,-0.76,11875,118.75,75
17,Salida en corto,2026-04-07 15:05,Scripted Exit All,6603.25,1,331125,962.5,0.29,1275,0.39,-37.5,-0.01,12837.5,128.38,5
17,Entrada en corto,2026-04-07 14:40,Scripted Short,6622.5,1,331125,962.5,0.29,1275,0.39,-37.5,-0.01,12837.5,128.38,5
18,Salida en corto,2026-04-08 09:45,Scripted Exit All,6816.5,1,341637.5,812.5,0.24,975,0.29,-200,-0.06,13650,136.50,17
18,Entrada en corto,2026-04-08 08:20,Scripted Short,6832.75,1,341637.5,812.5,0.24,975,0.29,-200,-0.06,13650,136.50,17
19,Salida en corto,2026-04-09 03:50,Scripted Exit All,6796.25,1,340887.5,1075,0.32,1262.5,0.37,-675,-0.20,14725,147.25,161
19,Entrada en corto,2026-04-08 13:25,Scripted Short,6817.75,1,340887.5,1075,0.32,1262.5,0.37,-675,-0.20,14725,147.25,161
20,Salida en largo,2026-04-09 09:45,Scripted Exit All,6819.25,1,340037.5,925,0.27,1050,0.31,-412.5,-0.12,15650,156.50,60
20,Entrada en largo,2026-04-09 04:45,Scripted Long,6800.75,1,340037.5,925,0.27,1050,0.31,-412.5,-0.12,15650,156.50,60
21,Salida en largo,2026-04-09 21:10,Scripted Exit All,6862.75,1,342875,262.5,0.08,400,0.12,-275,-0.08,15912.5,159.13,16
21,Entrada en largo,2026-04-09 19:50,Scripted Long,6857.5,1,342875,262.5,0.08,400,0.12,-275,-0.08,15912.5,159.13,16
22,Salida en corto,2026-04-10 02:20,Scripted Exit All,6857.25,1,343125,262.5,0.08,300,0.09,-300,-0.09,16175,161.75,51
22,Entrada en corto,2026-04-09 22:05,Scripted Short,6862.5,1,343125,262.5,0.08,300,0.09,-300,-0.09,16175,161.75,51
23,Salida en largo,2026-04-13 12:35,Scripted Exit All,6875.25,1,342850,912.5,0.27,1237.5,0.36,-4500,-1.31,17087.5,170.88,260
23,Entrada en largo,2026-04-10 13:55,Scripted Long,6857,1,342850,912.5,0.27,1237.5,0.36,-4500,-1.31,17087.5,170.88,260
24,Salida en largo,2026-04-14 03:10,Scripted Exit All,6935.5,1,346150,625,0.18,675,0.20,-25,-0.01,17712.5,177.13,8
24,Entrada en largo,2026-04-14 02:30,Scripted Long,6923,1,346150,625,0.18,675,0.20,-25,-0.01,17712.5,177.13,8
25,Salida en largo,2026-04-15 08:40,Scripted Exit All,7010.25,1,350075,437.5,0.12,825,0.24,-100,-0.03,18150,181.50,23
25,Entrada en largo,2026-04-15 06:45,Scripted Long,7001.5,1,350075,437.5,0.12,825,0.24,-100,-0.03,18150,181.50,23
26,Salida en largo,2026-04-16 02:10,Scripted Exit All,7076.5,1,353562.5,262.5,0.07,312.5,0.09,-12.5,0.00,18412.5,184.13,9
26,Entrada en largo,2026-04-16 01:25,Scripted Long,7071.25,1,353562.5,262.5,0.07,312.5,0.09,-12.5,0.00,18412.5,184.13,9
27,Salida en corto,2026-04-16 04:10,Scripted Exit All,7068,1,353700,300,0.08,400,0.11,-150,-0.04,18712.5,187.13,12
27,Entrada en corto,2026-04-16 03:10,Scripted Short,7074,1,353700,300,0.08,400,0.11,-150,-0.04,18712.5,187.13,12
28,Salida en largo,2026-04-16 06:05,Scripted Exit All,7069.75,1,353300,187.5,0.05,225,0.06,-50,-0.01,18900,189.00,16
28,Entrada en largo,2026-04-16 04:45,Scripted Long,7066,1,353300,187.5,0.05,225,0.06,-50,-0.01,18900,189.00,16
29,Salida en corto,2026-04-16 10:20,Scripted Exit All,7050.25,1,353375,862.5,0.24,1050,0.30,-175,-0.05,19762.5,197.63,8
29,Entrada en corto,2026-04-16 09:40,Scripted Short,7067.5,1,353375,862.5,0.24,1050,0.30,-175,-0.05,19762.5,197.63,8
30,Salida en largo,2026-04-16 12:10,Scripted Exit All,7084.75,1,353337.5,900,0.25,1000,0.28,-112.5,-0.03,20662.5,206.63,13
30,Entrada en largo,2026-04-16 11:05,Scripted Long,7066.75,1,353337.5,900,0.25,1000,0.28,-112.5,-0.03,20662.5,206.63,13
31,Salida en largo,2026-04-16 16:40,Scripted Exit All,7078.75,1,353575,362.5,0.10,462.5,0.13,-200,-0.06,21025,210.25,19
31,Entrada en largo,2026-04-16 15:05,Scripted Long,7071.5,1,353575,362.5,0.10,462.5,0.13,-200,-0.06,21025,210.25,19
32,Salida en largo,2026-04-17 04:30,Scripted Exit All,7087.5,1,354037.5,337.5,0.10,362.5,0.10,-275,-0.08,21362.5,213.63,52
32,Entrada en largo,2026-04-17 00:10,Scripted Long,7080.75,1,354037.5,337.5,0.10,362.5,0.10,-275,-0.08,21362.5,213.63,52
33,Salida en largo,2026-04-20 14:40,Scripted Short,7139.5,1,358087.5,-1112.5,-0.31,225,0.06,-3837.5,-1.07,20250,202.50,264
33,Entrada en largo,2026-04-17 15:40,Scripted Long,7161.75,1,358087.5,-1112.5,-0.31,225,0.06,-3837.5,-1.07,20250,202.50,264
34,Salida en corto,2026-04-21 11:40,Scripted Exit All,7126.5,1,356975,650,0.18,1012.5,0.28,-2175,-0.61,20900,209.00,240
34,Entrada en corto,2026-04-20 14:40,Scripted Short,7139.5,1,356975,650,0.18,1012.5,0.28,-2175,-0.61,20900,209.00,240
35,Salida en corto,2026-04-22 01:00,Scripted Exit All,7130.25,1,356750,237.5,0.07,275,0.08,-400,-0.11,21137.5,211.38,50
35,Entrada en corto,2026-04-21 20:50,Scripted Short,7135,1,356750,237.5,0.07,275,0.08,-400,-0.11,21137.5,211.38,50
36,Salida en corto,2026-04-22 20:30,Scripted Long,7153.25,1,356962.5,-700,-0.20,1687.5,0.47,-1687.5,-0.47,20437.5,204.38,184
36,Entrada en corto,2026-04-22 04:10,Scripted Short,7139.25,1,356962.5,-700,-0.20,1687.5,0.47,-1687.5,-0.47,20437.5,204.38,184
37,Salida en largo,2026-04-23 08:15,Scripted Exit All,7164.5,1,357662.5,562.5,0.16,812.5,0.23,-1725,-0.48,21000,210.00,141
37,Entrada en largo,2026-04-22 20:30,Scripted Long,7153.25,1,357662.5,562.5,0.16,812.5,0.23,-1725,-0.48,21000,210.00,141
38,Salida en corto,2026-04-27 09:35,Scripted Long,7191.5,1,356587.5,-2987.5,-0.84,112.5,0.03,-3837.5,-1.08,18012.5,180.13,464
38,Entrada en corto,2026-04-23 16:55,Scripted Short,7131.75,1,356587.5,-2987.5,-0.84,112.5,0.03,-3837.5,-1.08,18012.5,180.13,464
39,Salida en largo,2026-04-27 13:10,Scripted Exit All,7197,1,359575,275,0.08,375,0.10,-725,-0.20,18287.5,182.88,43
39,Entrada en largo,2026-04-27 09:35,Scripted Long,7191.5,1,359575,275,0.08,375,0.10,-725,-0.20,18287.5,182.88,43
40,Salida en largo,2026-04-28 15:35,Scripted Short,7166.75,1,360525,-2187.5,-0.61,125,0.03,-3212.5,-0.89,16100,161.00,193
40,Entrada en largo,2026-04-27 23:30,Scripted Long,7210.5,1,360525,-2187.5,-0.61,125,0.03,-3212.5,-0.89,16100,161.00,193
41,Salida en corto,2026-04-29 04:30,Scripted Long,7175.5,1,358337.5,-437.5,-0.12,25,0.01,-1087.5,-0.30,15662.5,156.63,143
41,Entrada en corto,2026-04-28 15:35,Scripted Short,7166.75,1,358337.5,-437.5,-0.12,25,0.01,-1087.5,-0.30,15662.5,156.63,143
42,Salida en largo,2026-04-29 07:10,Scripted Short,7174.75,1,358775,-37.5,-0.01,275,0.08,-450,-0.13,15625,156.25,32
42,Entrada en largo,2026-04-29 04:30,Scripted Long,7175.5,1,358775,-37.5,-0.01,275,0.08,-450,-0.13,15625,156.25,32
43,Salida en corto,2026-04-29 08:35,Scripted Exit All,7163,1,358737.5,587.5,0.16,675,0.19,-262.5,-0.07,16212.5,162.13,17
43,Entrada en corto,2026-04-29 07:10,Scripted Short,7174.75,1,358737.5,587.5,0.16,675,0.19,-262.5,-0.07,16212.5,162.13,17
44,Salida en largo,2026-04-29 10:45,Scripted Exit All,7172,1,358075,525,0.15,687.5,0.19,-50,-0.01,16737.5,167.38,7
44,Entrada en largo,2026-04-29 10:10,Scripted Long,7161.5,1,358075,525,0.15,687.5,0.19,-50,-0.01,16737.5,167.38,7
45,Salida en corto,2026-05-01 13:25,Scripted Long,7279,1,362912.5,-1037.5,-0.29,62.5,0.02,-2125,-0.59,15700,157.00,56
45,Entrada en corto,2026-05-01 08:45,Scripted Short,7258.25,1,362912.5,-1037.5,-0.29,62.5,0.02,-2125,-0.59,15700,157.00,56
46,Salida en largo,2026-05-04 11:00,Scripted Short,7259,1,363950,-1000,-0.27,237.5,0.07,-3262.5,-0.90,14700,147.00,247
46,Entrada en largo,2026-05-01 13:25,Scripted Long,7279,1,363950,-1000,-0.27,237.5,0.07,-3262.5,-0.90,14700,147.00,247
47,Salida en corto,2026-05-04 11:25,Scripted Exit All,7226.5,1,362950,1625,0.45,1762.5,0.49,-262.5,-0.07,16325,163.25,5
47,Entrada en corto,2026-05-04 11:00,Scripted Short,7259,1,362950,1625,0.45,1762.5,0.49,-262.5,-0.07,16325,163.25,5
48,Salida en largo,2026-05-04 22:45,Scripted Exit All,7240,1,361625,375,0.10,425,0.12,-750,-0.21,16700,167.00,101
48,Entrada en largo,2026-05-04 13:20,Scripted Long,7232.5,1,361625,375,0.10,425,0.12,-750,-0.21,16700,167.00,101
49,Salida en largo,2026-05-06 10:40,Scripted Exit All,7362.25,1,367050,1062.5,0.29,1087.5,0.30,-475,-0.13,17762.5,177.63,13
49,Entrada en largo,2026-05-06 09:35,Scripted Long,7341,1,367050,1062.5,0.29,1087.5,0.30,-475,-0.13,17762.5,177.63,13
50,Salida en corto,2026-05-07 20:00,Scripted Long,7363,1,368212.5,62.5,0.02,1400,0.38,-2312.5,-0.63,17825,178.25,364
50,Entrada en corto,2026-05-06 11:40,Scripted Short,7364.25,1,368212.5,62.5,0.02,1400,0.38,-2312.5,-0.63,17825,178.25,364
51,Salida en largo,2026-05-07 21:15,Scripted Exit All,7377.25,1,368150,712.5,0.19,762.5,0.21,0,0.00,18537.5,185.38,15
51,Entrada en largo,2026-05-07 20:00,Scripted Long,7363,1,368150,712.5,0.19,762.5,0.21,0,0.00,18537.5,185.38,15
52,Salida en corto,2026-05-11 22:10,Scripted Long,7425.25,1,368537.5,-2725,-0.74,25,0.01,-4200,-1.14,15812.5,158.13,546
52,Entrada en corto,2026-05-07 22:40,Scripted Short,7370.75,1,368537.5,-2725,-0.74,25,0.01,-4200,-1.14,15812.5,158.13,546
53,Salida en largo,2026-05-12 16:00,Scripted Exit All,7428,1,371262.5,137.5,0.04,425,0.11,-3100,-0.83,15950,159.50,214
53,Entrada en largo,2026-05-11 22:10,Scripted Long,7425.25,1,371262.5,137.5,0.04,425,0.11,-3100,-0.83,15950,159.50,214
54,Salida en largo,2026-05-13 12:25,Scripted Exit All,7461.5,1,371637.5,1437.5,0.39,1550,0.42,-1687.5,-0.45,17387.5,173.88,37
54,Entrada en largo,2026-05-13 09:20,Scripted Long,7432.75,1,371637.5,1437.5,0.39,1550,0.42,-1687.5,-0.45,17387.5,173.88,37
55,Salida en corto,2026-05-15 02:25,Scripted Exit All,7465,1,373975,725,0.19,812.5,0.22,-3025,-0.81,18112.5,181.13,257
55,Entrada en corto,2026-05-14 04:00,Scripted Short,7479.5,1,373975,725,0.19,812.5,0.22,-3025,-0.81,18112.5,181.13,257
56,Salida en largo,2026-05-18 08:55,Scripted Exit All,7448.75,1,371375,1062.5,0.29,1287.5,0.35,-2625,-0.71,19175,191.75,178
56,Entrada en largo,2026-05-17 18:05,Scripted Long,7427.5,1,371375,1062.5,0.29,1287.5,0.35,-2625,-0.71,19175,191.75,178
57,Salida en corto,2026-05-18 14:10,Scripted Exit All,7395.75,1,371275,1487.5,0.40,2187.5,0.59,-1437.5,-0.39,20662.5,206.63,55
57,Entrada en corto,2026-05-18 09:35,Scripted Short,7425.5,1,371275,1487.5,0.40,2187.5,0.59,-1437.5,-0.39,20662.5,206.63,55
58,Salida en largo,2026-05-19 04:15,Scripted Short,7418.25,1,371212.5,-300,-0.08,437.5,0.12,-1637.5,-0.44,20362.5,203.63,78
58,Entrada en largo,2026-05-18 21:45,Scripted Long,7424.25,1,371212.5,-300,-0.08,437.5,0.12,-1637.5,-0.44,20362.5,203.63,78
59,Salida en corto,2026-05-19 05:20,Scripted Exit All,7401.25,1,370912.5,850,0.23,975,0.26,-112.5,-0.03,21212.5,212.13,13
59,Entrada en corto,2026-05-19 04:15,Scripted Short,7418.25,1,370912.5,850,0.23,975,0.26,-112.5,-0.03,21212.5,212.13,13
60,Salida en largo,2026-05-19 13:25,Scripted Exit All,7414.25,1,369900,812.5,0.22,862.5,0.23,-2187.5,-0.59,22025,220.25,89
60,Entrada en largo,2026-05-19 06:00,Scripted Long,7398,1,369900,812.5,0.22,862.5,0.23,-2187.5,-0.59,22025,220.25,89
61,Salida en corto,2026-05-19 14:45,Scripted Exit All,7397,1,370325,475,0.13,625,0.17,-262.5,-0.07,22500,225.00,11
61,Entrada en corto,2026-05-19 13:50,Scripted Short,7406.5,1,370325,475,0.13,625,0.17,-262.5,-0.07,22500,225.00,11
62,Salida en largo,2026-05-20 02:30,Scripted Exit All,7388,1,369087.5,312.5,0.08,387.5,0.10,-1287.5,-0.35,22812.5,228.13,55
62,Entrada en largo,2026-05-19 21:55,Scripted Long,7381.75,1,369087.5,312.5,0.08,387.5,0.10,-1287.5,-0.35,22812.5,228.13,55
63,Salida en largo,2026-05-21 04:15,Scripted Exit All,7461,1,371900,1150,0.31,1162.5,0.31,-25,-0.01,23962.5,239.63,5
63,Entrada en largo,2026-05-21 03:50,Scripted Long,7438,1,371900,1150,0.31,1162.5,0.31,-25,-0.01,23962.5,239.63,5
64,Salida en corto,2026-05-21 06:40,Scripted Exit All,7420.5,1,372700,1675,0.45,1687.5,0.45,-250,-0.07,25637.5,256.38,11
64,Entrada en corto,2026-05-21 05:45,Scripted Short,7454,1,372700,1675,0.45,1687.5,0.45,-250,-0.07,25637.5,256.38,11
65,Salida en largo,2026-05-21 13:50,Scripted Exit All,7475.75,1,371662.5,2125,0.57,2150,0.58,-1237.5,-0.33,27762.5,277.63,76
65,Entrada en largo,2026-05-21 07:30,Scripted Long,7433.25,1,371662.5,2125,0.57,2150,0.58,-1237.5,-0.33,27762.5,277.63,76
66,Salida en corto,2026-05-22 16:40,Scripted Exit All,7488,1,374812.5,412.5,0.11,875,0.23,-1387.5,-0.37,28175,281.75,79
66,Entrada en corto,2026-05-22 10:05,Scripted Short,7496.25,1,374812.5,412.5,0.11,875,0.23,-1387.5,-0.37,28175,281.75,79
67,Salida en corto,2026-05-26 09:35,Scripted Exit All,7528.25,1,377125,712.5,0.19,762.5,0.20,-300,-0.08,28887.5,288.88,31
67,Entrada en corto,2026-05-26 07:00,Scripted Short,7542.5,1,377125,712.5,0.19,762.5,0.20,-300,-0.08,28887.5,288.88,31
68,Salida en largo,2026-05-26 10:45,Scripted Exit All,7554.25,1,377000,712.5,0.19,762.5,0.20,-525,-0.14,29600,296.00,12
68,Entrada en largo,2026-05-26 09:45,Scripted Long,7540,1,377000,712.5,0.19,762.5,0.20,-525,-0.14,29600,296.00,12
69,Salida en corto,2026-05-26 11:50,Scripted Exit All,7524.25,1,377075,862.5,0.23,925,0.25,-100,-0.03,30462.5,304.63,9
69,Entrada en corto,2026-05-26 11:05,Scripted Short,7541.5,1,377075,862.5,0.23,925,0.25,-100,-0.03,30462.5,304.63,9
70,Salida en largo,2026-05-26 16:00,Scripted Exit All,7539.25,1,376550,412.5,0.11,575,0.15,-637.5,-0.17,30875,308.75,42
70,Entrada en largo,2026-05-26 12:30,Scripted Long,7531,1,376550,412.5,0.11,575,0.15,-637.5,-0.17,30875,308.75,42
71,Salida en largo,2026-05-27 16:40,Scripted Exit All,7549,1,377287.5,162.5,0.04,175,0.05,-1537.5,-0.41,31037.5,310.38,79
71,Entrada en largo,2026-05-27 10:05,Scripted Long,7545.75,1,377287.5,162.5,0.04,175,0.05,-1537.5,-0.41,31037.5,310.38,79
72,Salida en largo,2026-05-28 08:45,Scripted Exit All,7535.5,1,376225,550,0.15,575,0.15,-200,-0.05,31587.5,315.88,12
72,Entrada en largo,2026-05-28 07:45,Scripted Long,7524.5,1,376225,550,0.15,575,0.15,-200,-0.05,31587.5,315.88,12
73,Salida en corto,2026-05-28 22:10,Scripted Long,7580.5,1,376500,-2525,-0.67,237.5,0.06,-3125,-0.83,29062.5,290.63,139
73,Entrada en corto,2026-05-28 09:35,Scripted Short,7530,1,376500,-2525,-0.67,237.5,0.06,-3125,-0.83,29062.5,290.63,139
74,Salida en largo,2026-05-29 00:25,Scripted Exit All,7584,1,379025,175,0.05,200,0.05,-312.5,-0.08,29237.5,292.38,27
74,Entrada en largo,2026-05-28 22:10,Scripted Long,7580.5,1,379025,175,0.05,200,0.05,-312.5,-0.08,29237.5,292.38,27
75,Salida en corto,2026-06-01 04:55,Scripted Long,7612.25,1,379225,-1387.5,-0.37,350,0.09,-1800,-0.47,27850,278.50,315
75,Entrada en corto,2026-05-29 01:40,Scripted Short,7584.5,1,379225,-1387.5,-0.37,350,0.09,-1800,-0.47,27850,278.50,315
76,Salida en largo,2026-06-01 06:40,Scripted Exit All,7616.75,1,380612.5,225,0.06,275,0.07,-162.5,-0.04,28075,280.75,21
