Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
1,Salida en corto,2026-03-16 14:30,Scripted Long,5012.2,1,501620,400,0.08,4270,0.85,-2830,-0.56,400,4.00
1,Entrada en corto,2026-03-16 02:50,Scripted Short,5016.2,1,501620,400,0.08,4270,0.85,-2830,-0.56,400,4.00
2,Salida en largo,2026-03-16 19:30,Scripted Exit All,5014.9,1,501220,270,0.05,1580,0.32,-830,-0.17,670,6.70
2,Entrada en largo,2026-03-16 14:30,Scripted Long,5012.2,1,501220,270,0.05,1580,0.32,-830,-0.17,670,6.70
3,Salida en corto,2026-03-18 01:40,Scripted Long,5000.2,1,500280,260,0.05,1790,0.36,-790,-0.16,930,9.30
3,Entrada en corto,2026-03-17 21:50,Scripted Short,5002.8,1,500280,260,0.05,1790,0.36,-790,-0.16,930,9.30
4,Salida en largo,2026-03-18 03:50,Scripted Short,4999.6,1,500020,-60,-0.01,2030,0.41,-220,-0.04,870,8.70
4,Entrada en largo,2026-03-18 01:40,Scripted Long,5000.2,1,500020,-60,-0.01,2030,0.41,-220,-0.04,870,8.70
5,Salida en corto,2026-03-18 14:25,Scripted Exit All,4885.1,1,499960,11450,2.29,16250,3.25,-210,-0.04,12320,123.20
5,Entrada en corto,2026-03-18 03:50,Scripted Short,4999.6,1,499960,11450,2.29,16250,3.25,-210,-0.04,12320,123.20
6,Salida en corto,2026-03-19 00:00,Scripted Exit All,4852.4,1,487260,2020,0.41,6660,1.37,-200,-0.04,14340,143.40
6,Entrada en corto,2026-03-18 14:50,Scripted Short,4872.6,1,487260,2020,0.41,6660,1.37,-200,-0.04,14340,143.40
7,Salida en corto,2026-03-20 08:10,Scripted Long,4688.9,1,469470,580,0.12,5650,1.20,-4160,-0.89,14920,149.20
7,Entrada en corto,2026-03-20 01:55,Scripted Short,4694.7,1,469470,580,0.12,5650,1.20,-4160,-0.89,14920,149.20
8,Salida en largo,2026-03-23 16:05,Scripted Short,4395,1,468890,-29390,-6.27,800,0.17,-58890,-12.56,-14470,-144.70
8,Entrada en largo,2026-03-20 08:10,Scripted Long,4688.9,1,468890,-29390,-6.27,800,0.17,-58890,-12.56,-14470,-144.70
9,Salida en corto,2026-03-24 15:00,Scripted Exit All,4390,1,439500,500,0.11,8870,2.02,-5550,-1.26,-13970,-139.70
9,Entrada en corto,2026-03-23 16:05,Scripted Short,4395,1,439500,500,0.11,8870,2.02,-5550,-1.26,-13970,-139.70
