Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
1,Salida en largo,2025-08-14 08:45,Scripted Short,63.02,1,63150,-130,-0.21,280,0.44,-1210,-1.92,-130,-1.30
1,Entrada en largo,2025-08-12 12:45,Scripted Long,63.15,1,63150,-130,-0.21,280,0.44,-1210,-1.92,-130,-1.30
2,Salida en corto,2025-08-15 14:15,Scripted Long,62.95,1,63020,70,0.11,130,0.21,-1130,-1.79,-60,-0.60
2,Entrada en corto,2025-08-14 08:45,Scripted Short,63.02,1,63020,70,0.11,130,0.21,-1130,-1.79,-60,-0.60
3,Salida en largo,2025-08-20 11:45,Scripted Short,62.77,1,62950,-180,-0.29,240,0.38,-1500,-2.38,-240,-2.40
3,Entrada en largo,2025-08-15 14:15,Scripted Long,62.95,1,62950,-180,-0.29,240,0.38,-1500,-2.38,-240,-2.40
4,Salida en corto,2025-08-21 07:45,Scripted Long,63.08,1,62770,-310,-0.49,220,0.35,-710,-1.13,-550,-5.50
4,Entrada en corto,2025-08-20 11:45,Scripted Short,62.77,1,62770,-310,-0.49,220,0.35,-710,-1.13,-550,-5.50
5,Salida en largo,2025-08-22 03:45,Scripted Short,63.75,1,63080,670,1.06,740,1.17,-560,-0.89,120,1.20
5,Entrada en largo,2025-08-21 07:45,Scripted Long,63.08,1,63080,670,1.06,740,1.17,-560,-0.89,120,1.20
6,Salida en corto,2025-08-22 04:45,Scripted Exit All,63.43,1,63750,320,0.50,390,0.61,-40,-0.06,440,4.40
6,Entrada en corto,2025-08-22 03:45,Scripted Short,63.75,1,63750,320,0.50,390,0.61,-40,-0.06,440,4.40
7,Salida en largo,2025-09-01 02:15,Scripted Short,64.05,1,64430,-380,-0.59,270,0.42,-1480,-2.30,60,0.60
7,Entrada en largo,2025-08-25 20:45,Scripted Long,64.43,1,64430,-380,-0.59,270,0.42,-1480,-2.30,60,0.60
8,Salida en corto,2025-09-02 08:45,Scripted Long,64.91,1,64050,-860,-1.34,0,0.00,-1980,-3.09,-800,-8.00
8,Entrada en corto,2025-09-01 02:15,Scripted Short,64.05,1,64050,-860,-1.34,0,0.00,-1980,-3.09,-800,-8.00
9,Salida en largo,2025-09-02 11:45,Scripted Exit All,65.51,1,64910,600,0.92,660,1.02,-410,-0.63,-200,-2.00
9,Entrada en largo,2025-09-02 08:45,Scripted Long,64.91,1,64910,600,0.92,660,1.02,-410,-0.63,-200,-2.00
10,Salida en largo,2025-09-04 07:45,Scripted Exit All,63.41,1,63230,180,0.28,500,0.79,-360,-0.57,-20,-0.20
10,Entrada en largo,2025-09-04 03:00,Scripted Long,63.23,1,63230,180,0.28,500,0.79,-360,-0.57,-20,-0.20
11,Salida en corto,2025-09-04 16:45,Scripted Exit All,63.27,1,63520,250,0.39,270,0.43,-180,-0.28,230,2.30
11,Entrada en corto,2025-09-04 11:00,Scripted Short,63.52,1,63520,250,0.39,270,0.43,-180,-0.28,230,2.30
12,Salida en corto,2025-09-08 09:45,Scripted Long,62.44,1,62400,-40,-0.06,30,0.05,-940,-1.51,190,1.90
12,Entrada en corto,2025-09-07 21:15,Scripted Short,62.4,1,62400,-40,-0.06,30,0.05,-940,-1.51,190,1.90
13,Salida en largo,2025-09-09 00:15,Scripted Exit All,62.65,1,62440,210,0.34,210,0.34,-490,-0.78,400,4.00
13,Entrada en largo,2025-09-08 09:45,Scripted Long,62.44,1,62440,210,0.34,210,0.34,-490,-0.78,400,4.00
14,Salida en corto,2025-09-10 09:30,Scripted Exit All,63.12,1,63260,140,0.22,720,1.14,-410,-0.65,540,5.40
14,Entrada en corto,2025-09-09 09:15,Scripted Short,63.26,1,63260,140,0.22,720,1.14,-410,-0.65,540,5.40
15,Salida en corto,2025-09-12 13:00,Scripted Long,62.55,1,62170,-380,-0.61,90,0.14,-1810,-2.91,160,1.60
15,Entrada en corto,2025-09-12 04:15,Scripted Short,62.17,1,62170,-380,-0.61,90,0.14,-1810,-2.91,160,1.60
16,Salida en largo,2025-09-14 21:00,Scripted Exit All,62.86,1,62550,310,0.50,450,0.72,-100,-0.16,470,4.70
16,Entrada en largo,2025-09-12 13:00,Scripted Long,62.55,1,62550,310,0.50,450,0.72,-100,-0.16,470,4.70
17,Salida en corto,2025-09-18 05:45,Scripted Long,63.28,1,64360,1080,1.68,1140,1.77,-240,-0.37,1550,15.50
17,Entrada en corto,2025-09-17 09:30,Scripted Short,64.36,1,64360,1080,1.68,1140,1.77,-240,-0.37,1550,15.50
18,Salida en largo,2025-09-18 07:15,Scripted Exit All,63.74,1,63280,460,0.73,520,0.82,-170,-0.27,2010,20.10
18,Entrada en largo,2025-09-18 05:45,Scripted Long,63.28,1,63280,460,0.73,520,0.82,-170,-0.27,2010,20.10
19,Salida en largo,2025-09-19 10:30,Scripted Exit All,63.06,1,62830,230,0.37,390,0.62,-290,-0.46,2240,22.40
